Operator	Transportas	Marsrutas	MarsrutasOrd	KryptiesPavadinimas	TvarkarascioMarsrutas	Pavadinimas	VehicleID	VehicleGarNum	PlanTrips	FaktTrips	RegularTrips	FaktRunID	PlanRunID	RegularTripsEnds
--------	-----------	---------	------------	-------------------	---------------------	-----------	---------	-------------	---------	---------	------------	---------	---------	----------------
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	01-ž	2-1918	784	20	20	19	634570	614592	20
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	02	2-10488	850	10	10	10	634735	614591	10
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	03-ž	2-923	975	23	23	22	634631	614596	22
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	04	2-10604	802	10	10	9	634754	614594	9
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	05-ž	2-2568	952	23	23	21	634521	614595	20
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	06	2-2743	977	22	22	21	634661	614598	21
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	07	2-467	979	23	23	22	634546	614593	22
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	08	2-515	934	23	23	21	634572	614597	22
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	09	2-1896	717	22	22	18	634624	614599	20
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	10	2-10486	932	22	22	16	634671	614600	19
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	01-ž	2-683	730	19	19	9	634590	614631	18
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	02	2-543	723	10	10	9	634787	614629	10
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	03	2-246	752	19	16	10	634655	614630	13
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	03	2-354	795	19	3	2	634834	614630	3
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	04	2-861	721	10	10	8	634799	614632	10
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	05-ž	2-361	787	20	20	15	634534	614633	20
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	06	2-2547	653	10	10	4	634761	614634	8
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	06	RVP452	653R	10	0	0	634762	614634	0
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	07-ž	2-690	758	19	19	14	634542	614635	17
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	08	2-1681	507	17	17	14	634531	614636	17
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	09	2-132	501	18	18	11	634726	614637	17
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	10	2-518	711	19	19	12	634685	614638	16
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	01-ž	2-17496	4015	20	20	15	634716	614671	17
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	02	2-1614	528	10	10	7	634788	614674	8
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	03	2-2294	515	21	14	11	634824	614672	11
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	03	2-10001	4017	21	7	4	634513	614672	4
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	04	2-280	745	10	10	7	634808	614673	8
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	05-ž	2-256	4012	20	20	15	634556	614675	19
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	06	2-10682	4008	20	20	18	634514	614677	20
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	07	2-17405	4014	22	22	17	634600	614676	20
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	08	2-592	4016	22	22	12	634647	614678	17
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	09	2-239	703	22	22	19	634702	614679	22
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	10	2-1192	473	10	10	0	634817	614670	2
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	01	2-3074	543	20	14	4	634822	614090	7
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	01	2-3171	565	20	6	1	634619	614090	3
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	02Ž	2-17440	446	20	20	17	634672	614089	18
