Operator	Transportas	Marsrutas	MarsrutasOrd	KryptiesPavadinimas	TvarkarascioMarsrutas	Pavadinimas	VehicleID	VehicleGarNum	PlanTrips	FaktTrips	RegularTrips	FaktRunID	PlanRunID	RegularTripsEnds
--------	-----------	---------	------------	-------------------	---------------------	-----------	---------	-------------	---------	---------	------------	---------	---------	----------------
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	01-ž	2-3075	3008	22	22	11	673596	614565	17
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	02	2-488	885	10	10	8	673883	614564	9
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	03-ž	2-1801	756	21	15	6	674079	614570	9
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	03-ž	2-1431	56	21	2	1	673707	614570	1
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	03-ž	2-2034	798	21	2	2	674127	614570	2
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	04	2-2285	519	10	10	3	673997	614574	4
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	05	2-1379	521	23	23	12	673603	614567	14
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	06	2-2298	478	10	10	1	674020	614572	2
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	07-ž	2-17465	3011	21	21	12	673708	614569	17
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	08	2-1345	474	10	10	8	673786	614575	8
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	09-ž	2-588	3009	23	23	18	673877	614573	20
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	10	2-10567	3014	8	8	5	674026	614568	5
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	11	2-2373	532	22	22	18	673628	614566	19
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	12	2-761	877	10	9	5	673968	614563	7
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	13-ž	2-464	740	23	23	16	673689	614571	17
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	14	2-10376	874	10	10	6	673987	614576	6
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	15	2-1328	277	20	20	11	673738	614577	13
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	16	2-329	284	10	10	7	674040	614578	7
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	17	2-1890	994	23	23	14	673839	614579	18
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	18	2-17394	3010	22	22	13	673599	614580	16
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	01-ž	2-1803	743	18	18	8	673697	663154	12
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	02	2-449	483	8	8	1	673932	663149	3
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	03	2-1853	744	17	17	8	673686	663151	13
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	04	2-10684	872	8	8	2	673989	663148	4
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	05-ž	2-402	774	18	14	9	673636	663153	11
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	05-ž	2-1431	56	18	3	3	674126	663153	3
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	06	2-3049	141	8	4	0	674112	663152	0
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	06	2-819	147	8	3	2	674041	663152	2
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	07	2-3028	777	18	18	6	673778	663155	11
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	08	2-2173	472	8	8	1	673973	663150	2
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	09-ž	2-2918	770	18	18	8	673859	663156	11
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	10	2-458	888	8	8	2	674045	663158	2
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	11	2-603	3006	17	17	7	673835	663157	10
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	12	2-605	746	8	4	0	674111	663161	0
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	12	2-2967	749	8	4	1	673888	663161	1
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	13-ž	2-11475	991	17	17	9	673783	663159	11
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	14	2-10336	3013	18	18	13	673566	663160	14
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	15	2-3041	526	17	17	8	673864	663162	10
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	16	2-73	481	8	8	3	674078	663163	4
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	17	2-3155	705	17	13	7	674098	663164	10
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	17	2-1347	509	17	3	1	673920	663164	1
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	18	2-577	51	8	8	2	674073	663165	5
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	01-Ž	2-11704	58	20	20	15	673594	614639	17
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	02	2-968	878	8	8	4	673860	614642	5
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	03-ž	2-2509	4007	19	19	16	673808	614640	18
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	04	2-607	887	8	8	4	673958	614641	5
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	05	2-17405	4014	20	18	10	674056	614643	16
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	05	2-3061	167	20	2	1	673570	614643	2
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	06	2-631	922	8	8	6	673978	614644	8
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	07-ž	2-10600	4010	20	20	12	673735	614645	16
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	08	2-679	227	8	8	6	674009	614648	7
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	09-ž	2-2224	60	19	19	15	673642	614647	17
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	10	2-579	4011	8	8	2	674036	614649	5
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	11	2-11476	996	20	17	13	674083	614646	15
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	11	2-3155	705	20	1	0	673965	614646	0
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	11	2-835	869	20	0	0	673785	614646	0
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	12	2-1381	517	8	8	4	674050	614651	5
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	13-ž	2-10345	266	19	19	11	673567	614650	13
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	14	2-2957	702	20	13	9	673871	614652	11
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	15	2-149	480	19	19	13	673606	614653	16
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	16	2-2821	514	8	8	4	674065	614654	4
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	17	2-10682	4008	18	18	13	673838	614655	15
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	18	2-2614	423	8	8	4	674080	614656	5
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	19	2-2320	512	20	18	9	673881	614657	16
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	20	07030	???	19	19	13	673712	614658	15
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	20	2-239	703	19	19	13	673713	614658	14
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	01Ž	2-2749	338	18	18	9	673874	663087	12
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	02	2-1137	541	8	8	5	674069	663088	5
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	03Ž	2-10375	448	18	18	11	673933	663102	13
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	04	NULL	???	8	0	0	0	663101	0
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	05Ž	2-1254	339	19	19	12	673588	663091	14
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	06	2-1230	546	8	8	3	673956	663089	5
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	07	2-215	550	20	20	14	673629	663092	15
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	08	2-385	549	8	8	2	673969	663090	4
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	09	2-17407	447	20	20	15	673704	663100	17
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	10	2-1346	597	8	8	3	674011	663094	5
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	11	2-10348	337	19	17	10	673687	663103	13
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	12	2-3005	548	8	8	3	674012	663095	3
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	13	2-824	445	20	20	15	673759	663099	15
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	14	2-2295	598	8	4	0	674113	663096	0
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	14	2-2034	798	8	3	2	674081	663096	3
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	15Ž	2-46	449	20	16	10	673818	663093	10
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	15Ž	2-2396	498	20	4	3	674128	663093	4
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	16	2-160	428	8	4	0	674063	663097	0
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	16	2-797	716	8	4	2	674072	663097	3
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	17	2-3171	565	19	17	9	674087	663098	9
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	17	2-2324	542	19	2	2	673848	663098	1
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	01-ž	2-2984	747	22	22	11	673694	614680	15
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	02	2-3184	518	9	9	2	673937	614682	4
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	03	2-2853	510	20	19	11	673764	614684	14
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	04	2-2163	479	9	9	3	673889	614687	6
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	05-ž	2-333	998	21	21	12	673576	614685	14
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	05-ž	07927	???	21	5	0	673575	614685	0
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	06	09989	???	9	21	12	674028	614688	0
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	06	2-2589	792	9	5	4	674030	614688	4
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	06	2-278	139	9	4	1	674004	614688	1
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	07	2-3176	477	22	22	10	673699	614683	15
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	08	2-1538	374	9	9	2	674018	614689	3
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	09-ž	2-2919	779	22	22	14	673781	614686	17
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	10	2-560	886	9	9	3	674016	614690	7
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	11	2-2479	275	22	22	12	673828	614681	18
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	12-ž	2-673	883	22	22	8	673825	614691	13
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	13	2-17536	4013	21	21	13	673902	614692	17
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	14	2-1622	523	7	7	4	674066	614693	5
