Operator	Transportas	Marsrutas	MarsrutasOrd	KryptiesPavadinimas	TvarkarascioMarsrutas	Pavadinimas	VehicleID	VehicleGarNum	PlanTrips	FaktTrips	RegularTrips	FaktRunID	PlanRunID	RegularTripsEnds
--------	-----------	---------	------------	-------------------	---------------------	-----------	---------	-------------	---------	---------	------------	---------	---------	----------------
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	01-ž	2-467	979	20	20	15	688405	614592	17
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	01-ž	2-187	1111	20	0	0	688360	614592	0
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	02	2-2858	652	10	10	9	688599	614591	10
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	03-ž	2-31	951	23	23	17	688482	614596	17
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	04	2-132	501	10	10	9	688613	614594	10
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	05-ž	2-2288	953	23	23	23	688378	614595	23
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	06	2-2676	954	22	22	18	688518	614598	20
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	07	2-797	716	23	23	21	688387	614593	23
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	08	2-2774	973	23	23	20	688431	614597	22
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	09	2-923	975	22	22	19	688490	614599	19
VVT	Autobusai	1G	1	Stotis–Kalvarijų g.–Santariškės	1G	10	2-2743	977	22	22	21	688386	614600	22
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	01-ž	07293	???	17	17	15	688445	663179	11
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	01-ž	2-296	729	17	17	15	688448	663179	16
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	02	2-348	890	10	10	10	688634	663177	10
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	03	2-247	728	18	17	15	688428	663178	17
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	04	2-10005	862	10	10	8	688656	663180	8
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	05-ž	2-1970	780	19	19	14	688422	663181	17
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	06	2-543	723	8	8	8	688671	663182	8
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	07-ž	2-2529	978	19	19	14	688398	663183	18
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	08	2-848	796	18	18	17	688483	663184	17
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	09	2-2923	824	17	17	16	688584	663185	17
VVT	Autobusai	2G	2	Santariškės–Laisvės pr.–Stotis	2G	10	2-690	758	18	18	15	688552	663186	16
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	01-ž	2-17536	4013	18	18	15	688563	663198	17
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	02	2-2967	749	10	10	5	688639	663201	8
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	03	2-2853	510	19	19	19	688467	663199	19
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	04	2-149	480	10	10	10	688663	663200	10
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	05-ž	2-2919	779	20	20	19	688425	663202	20
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	06-D	2-10682	4008	20	20	19	688535	663204	18
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	07	2-11476	996	20	20	17	688465	663203	18
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	08	2-1395	999	20	20	19	688450	663205	20
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	09	2-2957	702	20	20	19	688575	663206	20
VVT	Autobusai	3G	3	Fabijoniškės–Centras–Oro uostas	3G	10	2-11704	58	10	10	9	688672	663207	10
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	01	NULL	???	20	0	0	0	614090	0
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	02Ž	2-2749	338	20	20	14	688556	614089	16
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	03	2-2324	542	21	21	16	688391	614091	21
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	04Ž	2-824	445	21	21	20	688374	614092	21
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	05	2-46	449	20	12	9	688522	614087	10
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	05	2-1447	336	20	8	3	688692	614087	5
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	06	2-10375	448	10	10	10	688644	614086	10
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	07	2-1254	339	20	20	19	688583	614088	20
VVT	Autobusai	4G	4	Pilaitė–Konstitucijos pr.–Saulėtekis	4G	08	2-17407	447	10	10	9	688676	614085	10
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	01-ž	2-3157	708	24	24	17	688413	614704	23
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	02	2-1622	523	12	12	7	688642	614707	9
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	03	2-592	4016	24	24	19	688441	614708	23
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	04-ž	2-256	4012	24	24	18	688407	614706	22
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	05	2-2821	514	24	24	20	688394	614709	23
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	06	2-2381	524	12	12	10	688661	614705	11
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	07	2-17496	4015	24	19	18	688470	614710	18
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	07	2-2021	995	24	4	4	688694	614710	4
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	08	2-1614	528	12	12	12	688682	614711	12
VVT	Autobusai	5G	5	Pašilaičiai–Ozo g.–Saulėtekis	5G	09	2-280	745	24	24	17	688567	614712	23
VVT	Autobusai	6G	6	Parko–Olandų g.–Žaliasis tiltas	6G	01-ž	2-513	789	28	28	19	688442	614727	24
VVT	Autobusai	6G	6	Parko–Olandų g.–Žaliasis tiltas	6G	02	2-861	721	14	14	14	688630	614729	14
VVT	Autobusai	6G	6	Parko–Olandų g.–Žaliasis tiltas	6G	03	2-1951	794	26	26	26	688492	614728	26
VVT	Autobusai	6G	6	Parko–Olandų g.–Žaliasis tiltas	6G	04	2-354	795	28	28	26	688371	614732	25
VVT	Autobusai	6G	6	Parko–Olandų g.–Žaliasis tiltas	6G	05-Ž	2-703	797	26	26	26	688536	614730	26
VVT	Autobusai	6G	6	Parko–Olandų g.–Žaliasis tiltas	6G	06	2-383	939	14	14	14	688649	614731	14
VVT	Autobusai	1	1	Stotis–Vikingų g.–Oro uostas	1	01-Ž	2-2963	720	34	34	27	688430	628360	27
