VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10001	102	11	2	2865	2620	91.448517	234	8.1675396	11	0.38394415
2-10002	71	10	4	3473	3218	92.657646	252	7.2559743	3	8.6380653E-2
2-10005	83	10	4	1492	1393	93.364609	95	6.3672924	4	0.26809654
2-1011	37	10	2	1770	1634	92.316383	134	7.5706215	2	0.11299435
2-1022	77	11	4	1741	1599	91.843765	134	7.6967263	8	0.45950603
2-10336	1994	79	3	2637	2314	87.751236	165	6.2571101	158	5.9916573
2-10339	284	12	1	3304	2986	90.375305	268	8.1113796	50	1.5133172
2-10343	33	11	3	1217	1144	94.001648	72	5.9161873	1	8.2169272E-2
2-10348	95	11	4	2974	2744	92.266312	221	7.4310689	9	0.30262274
2-10356	29	10	4	3078	2851	92.625084	227	7.3749185	0	0
2-10359	62	10	4	1907	1771	92.868385	132	6.9218664	4	0.20975354
2-10369	305	36	4	2917	1401	48.028797	453	15.529654	1063	36.441551
2-10370	104	11	2	3394	3138	92.457275	220	6.4820275	36	1.0606954
2-10375	81	11	4	2194	1998	91.066544	184	8.386508	12	0.54694623
2-10376	29	10	4	3063	2857	93.274567	206	6.7254329	0	0
2-10380	44	10	4	3076	2847	92.555267	223	7.2496748	6	0.19505851
2-10383	851	27	4	1595	1343	84.20063	164	10.282132	88	5.5172415
2-10384	256	12	4	1781	1602	89.949463	148	8.3099384	31	1.7405951
2-10393	85	10	4	3311	3096	93.506493	202	6.1008759	13	0.39263061
2-10398	269	11	4	4237	4041	95.374084	176	4.1538825	20	0.4720321
2-10403	791	42	2	1473	1122	76.171082	172	11.67685	179	12.152071
2-10423	87	10	4	3265	3045	93.261871	212	6.4931087	8	0.24502295
2-10440	35	10	4	1406	1316	93.598862	86	6.116643	4	0.28449503
2-10454	33	11	4	3151	2811	89.209778	338	10.726753	2	6.3471913E-2
