VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10001	97	11	3	3425	3201	93.459854	192	5.6058397	32	0.9343065
2-10002	60	11	4	3376	3063	90.728668	299	8.8566351	14	0.41469195
2-10005	26	10	4	904	855	94.579651	49	5.4203539	0	0
2-1011	55	10	1	1468	1380	94.005447	86	5.8583107	2	0.13623978
2-1022	75	11	4	3056	2801	91.655762	237	7.7552357	18	0.58900523
2-10336	26295	10832	5	2092	292	13.957935	20	0.95602292	1780	85.086044
2-10339	109	11	4	3592	3242	90.256126	316	8.797327	34	0.94654793
2-10343	34	11	4	1146	1070	93.36824	74	6.4572425	2	0.17452008
2-10348	112	11	4	3204	2968	92.634209	215	6.7103615	21	0.65543067
2-10356	122	11	4	3112	2885	92.705658	206	6.6195378	21	0.67480719
2-10359	186	11	1	1696	1577	92.98349	101	5.9551888	18	1.0613208
2-10369	406	41	4	1054	497	47.153698	164	15.559772	393	37.28653
2-10370	95	11	4	3084	2850	92.412453	217	7.0363164	17	0.55123216
2-10375	162	11	4	2963	2732	92.20385	209	7.0536623	22	0.74249071
2-10376	74	10	2	1642	1557	94.823387	79	4.8112059	6	0.36540803
2-10380	247	11	4	2925	2733	93.435898	171	5.8461537	21	0.71794868
2-10383	854	146	4	1829	1105	60.415531	156	8.5292511	568	31.055222
2-10384	114	11	4	1789	1653	92.397987	122	6.8194523	14	0.78256011
2-10393	79	10	2	3065	2896	94.486137	156	5.0897226	13	0.42414358
2-10398	74	10	4	3885	3660	94.208496	212	5.4568853	13	0.33462033
2-10403	51	24	12	4	2	50	1	25	1	25
2-10423	109	10	2	498	466	93.574295	24	4.8192768	8	1.6064256
2-10440	1263	43	4	1816	1608	88.546257	129	7.1035242	79	4.3502202
2-10454	4885	162	4	3086	2594	84.05703	246	7.9714842	246	7.9714842
2-10486	142	13	4	3122	2528	80.973732	471	15.086482	123	3.9397821
2-10488	33	10	4	770	725	94.155846	43	5.5844154	2	0.25974026
2-10560	847	264	2	254	103	40.551178	20	7.8740158	131	51.574802
2-10567	70	11	4	1560	1450	92.948715	103	6.6025643	7	0.44871798
