VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10001	65303	25490	513	1357	0	0	0	0	1357	100
2-10002	65858	27483	16	1360	0	0	2	0.14705883	1358	99.852943
2-10005	65707	26733	1201	1465	0	0	0	0	1465	100
2-1011	65863	23060	41	1221	0	0	0	0	1221	100
2-10339	64888	26366	535	1350	0	0	0	0	1350	100
2-10345	65860	27733	6	1427	2	0.14015417	1	7.0077084E-2	1424	99.789772
2-10348	65864	26243	6	1273	2	0.1571092	1	0.0785546	1270	99.764336
2-10363	64763	25120	358	1593	0	0	0	0	1593	100
2-10370	65515	24724	51	1506	0	0	0	0	1506	100
2-10376	64546	25591	95	1157	0	0	0	0	1157	100
2-10380	65851	27582	11	1534	1	6.5189049E-2	1	6.5189049E-2	1532	99.869621
2-10384	65853	29733	6	1229	3	0.2441009	2	0.16273393	1224	99.593163
2-10393	65462	26132	1127	1310	0	0	0	0	1310	100
2-10403	65868	26519	13	1380	2	0.14492755	1	7.2463773E-2	1377	99.782608
2-10423	65799	29196	1384	1373	0	0	0	0	1373	100
2-10440	64872	25498	530	1439	0	0	0	0	1439	100
2-10454	65854	28063	12	1667	1	5.9987999E-2	3	0.17996401	1663	99.760048
2-10486	65498	25993	568	1515	0	0	0	0	1515	100
2-10560	65857	28527	18	1423	0	0	3	0.21082221	1420	99.789177
2-10563	65856	25834	10	1260	2	0.15873016	1	7.9365082E-2	1257	99.761902
2-10567	65848	28453	8	1349	2	0.14825797	1	7.4128985E-2	1346	99.777618
2-10577	64625	25348	186	1387	0	0	0	0	1387	100
2-10581	64613	28306	459	988	0	0	0	0	988	100
2-10584	65854	27254	12	1525	2	0.13114753	2	0.13114753	1521	99.737701
2-10598	12409	7424	2798	816	0	0	0	0	816	100
2-10600	61323	59808	59077	121	0	0	0	0	121	100
2-10604	65855	20833	22	732	0	0	2	0.27322403	730	99.726776
2-10611	65379	27087	959	1525	0	0	0	0	1525	100
2-10634	65859	28306	9	1495	3	0.20066889	3	0.20066889	1489	99.598663
2-10636	65859	25712	12	1148	2	0.17421603	3	0.26132405	1143	99.564461
2-10660	65856	28965	10	1349	2	0.14825797	3	0.22238696	1344	99.629356
2-10671	65860	24707	5	1592	2	0.12562814	1	6.2814072E-2	1589	99.811562
2-10679	65493	27361	1261	1371	0	0	0	0	1371	100
2-10681	65871	27922	7	1398	1	7.1530759E-2	1	7.1530759E-2	1396	99.856934
2-10682	65839	29909	6	1137	1	8.7950744E-2	1	8.7950744E-2	1135	99.824104
2-10684	65856	6712	8	751	3	0.39946741	3	0.39946741	745	99.201065
2-10700	65597	27850	1142	1401	0	0	0	0	1401	100
2-1085	65139	25300	586	1700	0	0	0	0	1700	100
2-1137	65691	27843	1268	1320	0	0	0	0	1320	100
2-11475	65321	28374	336	1163	0	0	0	0	1163	100
2-11476	64505	24133	411	1348	0	0	0	0	1348	100
2-11704	65854	7691	7	950	3	0.31578949	2	0.2105263	945	99.473686
2-11705	64945	25854	342	1395	0	0	0	0	1395	100
2-1230	65858	11707	7	1090	3	0.27522936	2	0.18348624	1085	99.541283
2-1254	65449	26216	1431	1280	0	0	0	0	1280	100
2-132	10236	5104	1134	832	0	0	0	0	832	100
2-1341	65849	28607	37	1533	0	0	0	0	1533	100
2-1346	11168	5152	660	711	0	0	0	0	711	100
2-1347	65860	17938	6	926	1	0.10799136	2	0.21598272	923	99.676025
2-1353	65871	30199	16	1281	0	0	3	0.23419203	1278	99.765808
2-1361	65857	26473	4	1646	2	0.12150669	1	6.0753345E-2	1643	99.817741
2-1375	9329	4924	680	800	0	0	0	0	800	100
2-1387	65814	24081	1111	1469	0	0	0	0	1469	100
2-1447	65795	29513	1661	1177	0	0	0	0	1177	100
2-149	65863	14950	9	846	2	0.23640662	0	0	844	99.763596
2-1503	65866	27717	10	1431	2	0.1397624	0	0	1429	99.860237
2-160	8826	4779	670	592	0	0	0	0	592	100
2-1614	65861	24789	5	1157	2	0.17286085	2	0.17286085	1153	99.654282
2-1622	65862	23684	11	766	1	0.1305483	3	0.3916449	762	99.477806
2-1624	65857	25327	7	1363	2	0.14673515	0	0	1361	99.853264
2-1636	11265	5748	922	912	0	0	0	0	912	100
2-1656	65883	19381	134	29	0	0	0	0	29	100
2-1663	65870	29347	7	1526	3	0.19659239	3	0.19659239	1520	99.606819
2-1685	65862	26002	10	1534	2	0.1303781	1	6.5189049E-2	1531	99.804428
2-17074	65855	23457	13	1734	1	5.7670124E-2	2	0.11534025	1731	99.826988
2-17135	65402	26488	757	1435	0	0	0	0	1435	100
2-17137	65805	28333	1191	1675	0	0	0	0	1675	100
2-17138	65440	27074	62	1469	0	0	0	0	1469	100
2-17140	65716	27043	1123	1553	0	0	0	0	1553	100
2-17147	65416	13420	128	959	0	0	0	0	959	100
2-17153	65860	30367	10	1294	2	0.15455949	2	0.15455949	1290	99.69088
2-17154	12106	7137	2299	802	0	0	0	0	802	100
2-1716	65861	28880	5	1370	2	0.14598539	2	0.14598539	1366	99.708023
2-17160	65867	23719	7	1345	2	0.14869888	0	0	1343	99.851295
2-17164	65856	25962	12	1344	2	0.14880952	2	0.14880952	1340	99.702385
2-17165	64823	26049	248	986	0	0	0	0	986	100
2-17166	10092	5719	1376	717	0	0	0	0	717	100
2-17171	65869	26742	20	1663	0	0	2	0.12026458	1661	99.879738
2-17182	65792	26503	12	1209	2	0.16542597	0	0	1207	99.834572
2-17183	10503	6905	3445	646	0	0	0	0	646	100
2-17188	65859	29217	34	1284	0	0	0	0	1284	100
2-17192	65859	26050	6	1662	2	0.12033695	2	0.12033695	1658	99.759331
2-17194	11003	6052	1620	745	0	0	0	0	745	100
2-17195	65618	30581	1320	1415	0	0	0	0	1415	100
2-17203	65098	26063	504	1580	0	0	0	0	1580	100
2-17209	65865	25877	11	1131	2	0.17683466	2	0.17683466	1127	99.646332
2-17220	65865	28270	1103	1034	0	0	0	0	1034	100
2-17396	65395	26945	298	1694	0	0	0	0	1694	100
2-17405	65865	28624	9	1232	3	0.24350649	0	0	1229	99.756493
2-17440	65859	27310	14	1313	1	7.6161467E-2	2	0.15232293	1310	99.771515
2-17468	65859	16014	9	1114	2	0.17953321	2	0.17953321	1110	99.640938
2-17495	64818	24787	175	1253	0	0	0	0	1253	100
2-17496	65844	27287	6	1291	3	0.23237799	0	0	1288	99.767616
2-17536	65842	26446	10	1298	2	0.15408321	0	0	1296	99.845917
2-1768	65808	18171	88	752	0	0	0	0	752	100
2-1779	65868	14847	15	623	1	0.16051364	2	0.32102728	620	99.518463
2-1782	64671	24695	407	1558	0	0	0	0	1558	100
2-17985	65859	11324	11	1102	2	0.1814882	1	9.0744101E-2	1099	99.727768
2-17986	65026	28969	386	1317	0	0	0	0	1317	100
2-17991	65668	15379	59	1143	0	0	0	0	1143	100
