VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10002	2321	55	4	3464	3157	91.137413	199	5.7448039	108	3.1177831
2-10005	79	11	4	1740	1613	92.701149	120	6.8965516	7	0.40229884
2-1011	74	10	3	1569	1495	95.283623	67	4.270236	7	0.44614401
2-1022	272	12	4	3322	2995	90.156532	267	8.0373268	60	1.8061409
2-10336	75	10	4	3040	2817	92.664474	210	6.9078946	13	0.42763156
2-10339	114	10	2	3741	3468	92.702484	258	6.8965516	15	0.40096229
2-10343	32	10	4	1165	1081	92.789696	83	7.1244636	1	0.08583691
2-10348	33	10	4	3022	2801	92.686966	220	7.2799473	1	0.03309067
2-10356	57	10	4	1776	1637	92.173424	134	7.5450449	5	0.28153151
2-10359	90	11	4	1642	1500	91.352013	129	7.8562727	13	0.79171741
2-10369	315	37	5	1782	854	47.923679	247	13.86083	681	38.215488
2-10370	858	17	1	3582	3265	91.150192	237	6.616415	80	2.2333891
2-10375	80	11	4	3305	3054	92.405441	245	7.4130101	6	0.18154311
2-10376	18	14	10	4	2	50	2	50	0	0
2-10380	54	10	4	3461	3278	94.712517	179	5.1719155	4	0.11557353
2-10383	1396	180	4	1847	976	52.842449	155	8.3919868	716	38.765564
2-10398	884	53	4	4075	3405	83.558281	232	5.6932516	438	10.748466
2-10403	3318	593	4	1627	578	35.525505	143	8.7891827	906	55.68531
2-10423	20	10	2	446	424	95.067261	22	4.9327354	0	0
2-10440	67	10	4	1618	1530	94.561188	79	4.8825712	9	0.55624229
2-10454	76	11	4	3137	2913	92.859421	205	6.5349059	19	0.60567421
2-10482	85	11	4	1785	1637	91.708687	142	7.9551826	6	0.33613446
2-10486	74	10	2	3391	3201	94.396935	163	4.8068414	27	0.79622531
2-10488	697	24	4	1557	1399	89.85228	94	6.0372515	64	4.1104689
2-10560	924	257	4	1558	680	43.645702	105	6.7394094	773	49.614891
2-10563	919	27	4	1965	1754	89.262085	127	6.4631042	84	4.2748089
2-10567	264	15	4	611	547	89.525368	41	6.7103109	23	3.7643209
2-10577	57	11	4	3744	3470	92.681625	264	7.0512824	10	0.26709402
2-10580	70	10	4	3752	3520	93.816635	221	5.8901916	11	0.29317698
2-10581	99	11	4	2916	2654	91.015091	241	8.2647467	21	0.7201646
2-10584	74	11	4	3117	2849	91.401985	259	8.3092718	9	0.28873917
2-10594	97	11	4	3755	3506	93.368843	228	6.0719042	21	0.55925429
2-10598	1200	65	2	1662	1308	78.700363	147	8.8447657	207	12.454873
2-10600	77	12	4	2873	2441	84.963455	416	14.479639	16	0.55690914
2-10611	35	10	4	1627	1518	93.300552	106	6.515058	3	0.18438844
2-10632	95	11	4	1958	1780	90.909096	149	7.6098061	29	1.4811032
2-10634	124	10	2	2074	1953	94.165863	107	5.1591129	14	0.67502409
2-10636	277	12	4	3451	3128	90.640396	244	7.0704145	79	2.2891915
2-10642	170	11	3	1626	1465	90.098396	142	8.7330866	19	1.1685117
2-10644	29344	7424	4	3389	1575	46.473888	115	3.3933315	1699	50.132782
2-10647	6971	398	4	2866	2197	76.657364	163	5.6873689	506	17.655268
2-10657	845	11	4	3230	2974	92.074303	230	7.1207433	26	0.80495358
2-10671	82	11	4	3348	3063	91.487457	270	8.0645161	15	0.44802868
2-10679	268	36	4	1122	516	45.989304	217	19.340464	389	34.670231
2-10681	173	11	4	3126	2924	93.538071	188	6.0140753	14	0.44785669
2-10682	243	12	4	2659	2334	87.777359	296	11.132005	29	1.0906355
