VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10001	82165	68743	17821	944	0	0	0	0	944	100
2-10002	78298	73824	68988	656	0	0	0	0	656	100
2-10005	70626	69506	68978	39	0	0	0	0	39	100
2-10345	75599	71577	68974	364	0	0	0	0	364	100
2-10348	82063	75390	18104	857	0	0	0	0	857	100
2-10358	82173	67178	17820	1190	0	0	0	0	1190	100
2-10359	81204	74251	68999	660	0	0	0	0	660	100
2-10375	82161	74613	17819	812	0	0	0	0	812	100
2-10380	81939	75435	19935	847	0	0	0	0	847	100
2-10384	82084	69609	17921	969	0	0	0	0	969	100
2-10393	77834	73173	68976	561	0	0	0	0	561	100
2-10403	80928	75156	68980	823	0	0	0	0	823	100
2-10423	78501	74124	69831	621	0	0	0	0	621	100
2-10440	81795	68899	18165	976	0	0	0	0	976	100
2-10454	72702	70740	68990	310	0	0	0	0	310	100
2-10482	82177	72541	17820	888	0	0	0	0	888	100
2-10486	82147	76113	18288	870	0	0	0	0	870	100
2-10492	79302	74562	70545	595	0	0	0	0	595	100
2-10560	81946	51800	18015	218	0	0	0	0	218	100
2-10563	73179	70671	68971	211	0	0	0	0	211	100
2-10567	73172	70277	68982	168	0	0	0	0	168	100
2-10577	82104	71199	17907	987	0	0	0	0	987	100
2-10581	71953	69903	68974	138	0	0	0	0	138	100
2-10584	82167	67288	17802	1029	0	0	0	0	1029	100
2-10594	82540	72680	18015	955	0	0	0	0	955	100
2-10598	72182	70350	68976	173	0	0	0	0	173	100
2-10600	71824	69391	68971	59	0	0	0	0	59	100
2-10604	82145	75480	17845	821	0	0	0	0	821	100
2-10611	82179	71052	17821	952	0	0	0	0	952	100
2-10632	80943	74606	69046	744	0	0	0	0	744	100
2-10634	81624	75848	68997	783	0	0	0	0	783	100
2-10642	81660	75401	18256	978	0	0	0	0	978	100
2-10646	81717	74967	18949	932	0	0	0	0	932	100
2-10660	81802	75576	69000	942	0	0	0	0	942	100
2-10679	82175	72865	17821	945	0	0	0	0	945	100
2-10681	81982	75046	68974	1003	0	0	0	0	1003	100
2-10682	82155	73194	17817	849	0	0	0	0	849	100
2-1085	82077	75782	68973	705	0	0	0	0	705	100
2-1137	82170	71831	17816	863	0	0	0	0	863	100
2-11475	82175	73287	17807	923	0	0	0	0	923	100
2-11476	82183	72038	17814	810	0	0	0	0	810	100
2-11705	82155	73152	17814	1127	0	0	0	0	1127	100
2-1328	82162	74699	17811	838	0	0	0	0	838	100
2-1341	82158	62879	17808	1179	0	0	0	0	1179	100
2-1346	81446	75811	69002	707	0	0	0	0	707	100
2-1353	82162	62939	17806	1116	0	0	0	0	1116	100
2-1375	73217	73192	73173	4	0	0	0	0	4	100
2-1387	82171	74222	17825	1069	0	0	0	0	1069	100
2-143	25812	21760	18168	78	0	0	0	0	78	100
2-1431	82169	68932	17803	1100	0	0	0	0	1100	100
2-1447	81782	76101	68994	737	0	0	0	0	737	100
2-1495	71246	70608	70348	10	0	0	0	0	10	100
2-17135	80890	75422	68987	820	0	0	0	0	820	100
2-17137	82608	66487	18077	1145	0	0	0	0	1145	100
2-1716	80294	75324	69945	702	0	0	0	0	702	100
2-17164	82180	66879	17823	1003	0	0	0	0	1003	100
2-17165	81884	75602	69422	649	0	0	0	0	649	100
2-17182	82169	68818	17804	755	0	0	0	0	755	100
2-17188	81844	75601	69070	884	0	0	0	0	884	100
2-17192	80248	74710	69043	783	0	0	0	0	783	100
2-17195	74531	71891	69365	451	0	0	0	0	451	100
