VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10001	21369	2106	-6	2980	2600	87.248322	36	1.2080537	344	11.543624
2-10002	21350	1285	-5	2865	2642	92.2164	28	0.97731239	195	6.8062825
2-10005	21372	1648	-6	3796	3416	89.989464	45	1.1854583	335	8.825079
2-1022	21371	2004	-6	2507	2241	89.389709	14	0.55843639	252	10.051855
2-10339	21371	1027	-7	3100	2894	93.354836	31	1	175	5.6451612
2-10348	21093	1416	-6	2722	2440	89.639969	27	0.99191767	255	9.3681116
2-10359	21371	1355	-9	2974	2736	91.997307	36	1.2104909	202	6.7921987
2-10363	21378	1394	-7	3190	2925	91.692787	32	1.0031348	233	7.3040752
2-10370	15	14	13	2	2	100	0	0	0	0
2-10375	21374	1310	-5	2945	2696	91.544991	46	1.5619694	203	6.8930387
2-10376	21370	1077	-5	2790	2607	93.440857	31	1.1111112	152	5.448029
2-10380	21377	1893	-10	2986	2575	86.235771	101	3.3824515	310	10.381782
2-10384	21384	922	-6	3081	2879	93.443687	39	1.2658228	163	5.2904902
2-10403	21368	2286	-6	3035	2617	86.227348	24	0.79077429	394	12.981878
2-10423	21385	1311	-6	3542	3238	91.417274	50	1.4116319	254	7.1710901
2-10440	20957	1118	-6	3173	2872	90.51371	66	2.0800505	235	7.40624
2-10454	21158	2025	-6	3130	2775	88.65815	26	0.83067089	329	10.511182
2-10482	21058	1334	-6	3118	1931	61.930721	176	5.6446443	1011	32.424633
2-10486	21378	1704	-6	3369	2979	88.423866	31	0.92015433	359	10.655981
2-10490	846	56	-5	1607	1125	70.006218	148	9.2097073	334	20.784069
2-10492	21375	1931	-8	3744	3326	88.835472	41	1.0950855	377	10.069445
2-10560	33	6	-6	2260	2211	97.831856	48	2.1238937	1	4.4247787E-2
2-10563	20445	13	-7	2677	2617	97.75869	49	1.8304073	11	0.41090772
2-10567	74	5	-5	1738	1718	98.849258	17	0.97813576	3	0.17261221
2-10570	21377	1390	-6	3018	2782	92.180252	24	0.7952286	212	7.0245199
2-10577	21377	890	-6	3435	3244	94.43959	34	0.98981076	157	4.5705967
2-10581	21376	1881	-6	3308	2950	89.17775	34	1.0278114	324	9.7944374
2-10584	21380	747	-6	3035	2899	95.518944	23	0.75782537	113	3.7232292
2-10594	21860	2193	-5	3509	1736	49.472786	96	2.7358222	1677	47.791393
2-10598	24	5	-5	1658	1642	99.034981	16	0.96501809	0	0
2-10600	21374	4190	-4	1513	1173	77.528091	8	0.52875084	332	21.943159
2-10604	21368	1408	-5	2925	2655	90.769234	44	1.5042735	226	7.7264957
2-10611	21342	2239	-5	3123	2721	87.127762	33	1.0566763	369	11.815562
2-10632	21304	1949	-6	3989	3044	76.309853	136	3.4093757	809	20.280773
2-10634	21214	1700	-6	3489	3140	89.997139	40	1.1464603	309	8.8564062
2-10642	21377	1643	-5	3691	3326	90.111084	54	1.4630182	311	8.4259014
2-10644	72	6	-6	1608	1578	98.134323	22	1.3681593	8	0.49751243
