VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10001	839	14	4	2893	2650	91.60041	189	6.533011	54	1.8665744
2-10002	293	12	4	2574	2358	91.608391	186	7.2261071	30	1.1655011
2-10005	272	12	2	1741	1589	91.269386	126	7.2372198	26	1.4933946
2-1011	218	11	4	1851	1731	93.517014	93	5.0243115	27	1.458671
2-10336	107	11	3	1009	920	91.179382	77	7.6313181	12	1.1892964
2-10343	236	13	5	1131	1036	91.600349	71	6.2776303	24	2.122016
2-10348	235	12	4	3123	2881	92.251038	202	6.4681396	40	1.2808198
2-10356	70	10	3	3143	2946	93.732101	191	6.0769963	6	0.19090042
2-10359	228	11	4	3538	3297	93.188248	205	5.7942343	36	1.017524
2-10369	289	28	4	2045	1282	62.689487	255	12.469438	508	24.841076
2-10370	233	11	1	3125	2866	91.711998	229	7.3280001	30	0.96000004
2-10375	394	12	4	3196	2979	93.210258	188	5.8823528	29	0.90738422
2-10376	228	11	4	3171	2927	92.305267	223	7.0324817	21	0.66225165
2-10383	548	19	4	1588	1395	87.846344	123	7.7455921	70	4.4080606
2-10384	57	10	4	3057	2816	92.116455	232	7.5891399	9	0.29440627
2-10393	211	11	4	3260	3035	93.09816	189	5.7975459	36	1.1042945
2-10398	342	11	4	4166	3943	94.647148	189	4.536726	34	0.81613052
2-10423	341	12	4	3226	2968	92.00248	215	6.6646004	43	1.3329201
2-10440	229	12	3	1844	1707	92.570503	112	6.0737529	25	1.3557483
2-10454	339	12	4	2998	2740	91.394264	228	7.6050701	30	1.0006671
2-10486	228	11	4	3559	3303	92.806969	233	6.5467825	23	0.64624894
2-10488	331	13	4	1719	1587	92.321114	97	5.6428156	35	2.0360675
2-10560	3462	872	4	1756	521	29.669704	94	5.353075	1141	64.977226
2-10563	230	12	1	1759	1606	91.30188	136	7.7316656	17	0.9664582
2-10567	165	11	0	3260	3019	92.607361	217	6.6564417	24	0.73619634
2-10570	13	12	12	4	4	100	0	0	0	0
2-10577	337	11	4	2925	2709	92.615387	200	6.8376074	16	0.54700851
2-10580	35	10	4	1130	1053	93.185844	76	6.7256637	1	8.8495575E-2
2-10581	58	11	3	787	716	90.978401	67	8.5133419	4	0.50825918
2-10584	234	11	1	2331	2156	92.492493	162	6.9498072	13	0.55770051
2-10598	233	12	4	1720	1529	88.895348	157	9.1279068	34	1.9767443
2-10600	229	12	4	2858	2631	92.057381	184	6.4380684	43	1.5045487
2-10604	369	13	4	1680	1528	90.952377	121	7.2023811	31	1.8452382
2-10611	231	11	2	2768	2571	92.88295	187	6.7557802	10	0.36127168
2-10632	156	11	4	3141	2861	91.08564	238	7.5772047	42	1.3371538
2-10634	237	12	4	1528	1431	93.651833	81	5.3010473	16	1.0471205
2-10636	721	20	4	3320	3032	91.325302	172	5.1807227	116	3.4939759
2-10642	24	10	5	675	625	92.59259	50	7.4074073	0	0
2-10644	77	11	4	1461	1331	91.10199	125	8.5557842	5	0.34223133
2-10647	328	12	4	2126	1955	91.956726	142	6.6792102	29	1.364064
2-10657	274	12	3	3485	3137	90.014343	301	8.6370153	47	1.3486371
2-10671	167	12	4	3452	3108	90.034767	283	8.1981459	61	1.7670915
2-10681	266	11	2	3525	3327	94.38298	175	4.9645391	23	0.65248227
2-10682	292	12	4	2648	2399	90.59668	227	8.5725079	22	0.83081573
2-10684	335	12	4	1331	1222	91.810669	90	6.7618332	19	1.4274981
2-10685	237	12	4	1325	1211	91.396225	102	7.6981134	12	0.90566033
2-10700	2528	296	3	2142	991	46.265175	212	9.8972921	939	43.837536
2-10701	78	11	4	1187	1108	93.344566	70	5.8972197	9	0.758214
2-1074	232	11	4	2280	2083	91.35965	171	7.5000005	26	1.1403508
2-1085	256	12	4	3820	3522	92.198952	233	6.0994763	65	1.7015706
2-11475	170	13	4	1849	1634	88.372093	159	8.5992422	56	3.0286641
2-11476	240	11	4	2944	2684	91.16848	223	7.574728	37	1.2567935
2-11704	232	11	4	2735	2536	92.723946	180	6.5813527	19	0.69469839
2-11705	125	11	4	3141	2936	93.473419	195	6.2082138	10	0.31836995
2-1192	275	11	4	1489	1381	92.746811	88	5.9100065	20	1.3431833
2-1222	265	12	4	1334	1222	91.604195	85	6.3718138	27	2.023988
2-1254	265	11	4	2886	2674	92.65419	193	6.6874561	19	0.65835065
2-132	340	14	5	1382	1275	92.257599	82	5.9334297	25	1.8089725
2-1328	19	9	4	120	116	96.666664	4	3.3333335	0	0
2-1341	371	12	4	3256	3017	92.659706	209	6.4189186	30	0.92137593
2-1345	231	11	3	1865	1718	92.117966	126	6.7560325	21	1.1260054
2-1346	258	12	4	1413	1288	91.153572	106	7.5017691	19	1.3446567
2-1347	334	12	2	2623	2354	89.744568	245	9.3404503	24	0.9149828
2-1353	36486	9070	4	3605	2200	61.026352	175	4.8543687	1230	34.119278
2-1375	669	22	4	1485	1319	88.821548	101	6.8013468	65	4.3771043
2-1379	223	11	4	1478	1363	92.219215	96	6.4952641	19	1.2855209
2-1381	279	13	4	1819	1642	90.269379	139	7.6415615	38	2.0890598
2-1386	216	11	4	3435	3150	91.703056	253	7.3653564	32	0.93158662
2-1387	4485	1031	5	3358	459	13.66885	95	2.8290651	2804	83.502083
2-143	11	9	8	3	3	100	0	0	0	0
2-1431	140	11	4	2920	2631	90.102737	247	8.4589043	42	1.4383562
2-1444	2698	391	3	1758	427	24.288963	127	7.2241178	1204	68.486916
2-1447	79	11	3	3301	2976	90.154495	311	9.4213877	14	0.42411393
2-1476	394	12	3	1636	1522	93.031784	87	5.3178487	27	1.6503668
2-149	16	8	2	63	62	98.412697	1	1.5873017	0	0
2-1495	16	13	10	24	22	91.666672	2	8.333334	0	0
2-1503	214	11	4	1618	1487	91.903587	119	7.3547587	12	0.74165636
2-1538	317	11	1	1420	1294	91.126755	121	8.5211267	5	0.35211268
2-1571	237	12	3	1443	1326	91.891891	102	7.0686073	15	1.039501
2-160	231	11	4	1387	1287	92.790192	87	6.2725306	13	0.93727463
2-1610	240	11	2	3787	3513	92.764725	228	6.0205965	46	1.2146819
2-1614	301	12	4	1455	1352	92.920967	87	5.9793816	16	1.0996563
2-1618	209	11	2	3152	2903	92.100258	226	7.1700506	23	0.72969544
2-1622	223	11	3	1455	1348	92.646049	88	6.04811	19	1.3058419
2-1624	241	12	4	1677	1564	93.26178	81	4.8300538	32	1.9081693
2-1636	235	11	4	1867	1737	93.036957	110	5.8918052	20	1.0712373
2-1653	225	11	4	1662	1509	90.79422	141	8.4837551	12	0.72202164
2-1663	297	12	2	3038	2652	87.294273	348	11.454905	38	1.2508229
2-1681	203	11	4	1410	1283	90.992912	118	8.3687944	9	0.63829786
2-1685	227	12	4	1406	1281	91.109535	105	7.4679942	20	1.4224751
2-1687	229	11	5	1438	1336	92.906815	89	6.1891513	13	0.90403342
2-1694	36	10	4	1790	1660	92.737427	128	7.1508379	2	0.11173184
2-1716	230	11	4	2781	2604	93.635384	171	6.1488671	6	0.21574973
2-17394	237	11	2	3818	3550	92.980614	244	6.3907804	24	0.62860131
2-17403	239	12	1	1336	1238	92.664673	64	4.7904196	34	2.5449102
2-17407	292	13	4	3306	2864	86.630371	384	11.615245	58	1.7543859
2-17440	239	11	4	3054	2823	92.43615	213	6.9744596	18	0.58939099
2-1745	228	12	4	1735	1558	89.798271	150	8.6455326	27	1.556196
2-17465	262	11	3	3122	2884	92.376678	220	7.0467653	18	0.57655346
2-17468	230	11	4	2888	2694	93.282547	176	6.0941825	18	0.62326866
2-1747	221	12	4	1746	1568	89.805267	164	9.3928976	14	0.8018328
2-17496	277	11	4	3131	2875	91.8237	222	7.0903869	34	1.0859151
2-17536	231	11	4	2889	2603	90.10038	263	9.1034966	23	0.79612321
