VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10001	628	15	2	3079	2847	92.465088	169	5.4887953	63	2.046119
2-10002	337	12	4	3279	3048	92.95517	199	6.0689235	32	0.97590733
2-10005	99	11	4	1477	1351	91.469193	118	7.9891672	8	0.54163843
2-1011	298	12	4	1605	1518	94.579437	59	3.6760125	28	1.7445482
2-1022	622	17	4	3217	2837	88.187752	283	8.7970161	97	3.0152316
2-10336	102	11	4	1651	1531	92.731682	89	5.3906722	31	1.8776499
2-10339	883	20	4	3165	2815	88.941551	197	6.2243285	153	4.8341231
2-10343	71	11	4	1159	1061	91.544434	90	7.7653146	8	0.69025022
2-10345	580	18	4	3235	2682	82.905724	369	11.406491	184	5.6877894
2-10348	635	17	4	2548	2281	89.521194	208	8.1632652	59	2.3155415
2-10356	634	15	4	3193	2905	90.98027	229	7.1719384	59	1.847792
2-10359	847	50	4	2835	2288	80.705467	224	7.9012351	323	11.393298
2-10369	304	36	4	1995	983	49.273186	277	13.884711	735	36.842106
2-10370	461	14	3	3004	2617	87.11718	330	10.985353	57	1.8974701
2-10375	222	11	4	3354	3059	91.204529	257	7.6624923	38	1.1329756
2-10376	728	21	4	1443	1291	89.466385	105	7.2765074	47	3.2571032
2-10380	454	14	4	3068	2762	90.026077	243	7.9204693	63	2.0534551
2-10383	20	20	20	1	0	0	1	100	0	0
2-10393	259	12	4	3553	3198	90.008446	309	8.6968756	46	1.2946806
2-10398	931	33	3	4198	3656	87.089088	259	6.1696043	283	6.7413054
2-10423	59	10	4	1632	1515	92.830887	113	6.9240198	4	0.24509805
2-10440	64	10	3	1622	1502	92.60173	113	6.9667077	7	0.431566
2-10454	301	13	4	3646	3282	90.016457	281	7.7070765	83	2.2764673
2-10482	86	11	4	1538	1426	92.717812	103	6.6970086	9	0.58517551
2-10486	589	15	4	3709	3375	90.994873	208	5.6079807	126	3.3971422
2-10488	101	10	2	1527	1444	94.564507	77	5.0425673	6	0.39292732
2-10560	1020	267	2	621	241	38.808372	25	4.0257649	355	57.165863
2-10563	265	12	4	2589	2427	93.74276	127	4.9053688	35	1.3518733
2-10567	101	11	4	1787	1638	91.662003	131	7.3307219	18	1.0072747
2-10570	632	16	4	3491	3076	88.112289	318	9.1091375	97	2.7785735
2-10577	724	17	1	3044	2589	85.052559	359	11.793693	96	3.1537452
2-10580	700	13	4	3127	2890	92.420853	204	6.5238247	33	1.0553247
2-10581	687	13	4	1400	1241	88.64286	133	9.5	26	1.8571429
2-10584	379	13	3	4331	3821	88.224426	413	9.5359039	97	2.2396674
2-10594	886	21	4	3165	2879	90.963669	186	5.8767772	100	3.1595576
2-10598	1683	92	4	2211	1660	75.079147	172	7.7792854	379	17.141563
2-10600	360	15	4	3988	3453	86.584755	333	8.35005	202	5.0651956
2-10611	725	17	4	3522	3204	90.971039	225	6.3884153	93	2.6405451
2-10632	209	16	2	1241	1024	82.514099	122	9.8307819	95	7.655117
2-10634	73	10	4	1905	1801	94.54068	100	5.2493439	4	0.20997375
2-10635	621	12	4	3375	3199	94.785187	149	4.4148149	27	0.80000001
2-10636	16	10	5	100	99	99	1	1	0	0
2-10642	47	10	4	1703	1575	92.483856	126	7.3987083	2	0.11743981
2-10644	288	14	4	3514	3117	88.702332	285	8.1104155	112	3.1872511
2-10647	586	15	4	2432	2151	88.445724	205	8.4292765	76	3.125
2-10657	589	15	4	3521	3139	89.15081	316	8.9747229	66	1.8744675
