VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10002	68	11	4	2928	2674	91.325134	235	8.0259562	19	0.64890712
2-10005	104	12	4	1111	988	88.928894	103	9.2709274	20	1.8001801
2-1011	110	11	4	1969	1861	94.514984	95	4.8247838	13	0.66023362
2-1022	96	11	4	3392	3129	92.24646	250	7.3702826	13	0.38325474
2-10336	108	11	4	3368	3074	91.27079	263	7.8087888	31	0.92042756
2-10339	121	12	2	2278	1997	87.664619	237	10.403863	44	1.9315189
2-10343	79	11	4	1155	1053	91.168831	96	8.3116884	6	0.51948053
2-10345	100	11	4	1258	1152	91.573929	97	7.7106519	9	0.71542132
2-10359	36	11	4	768	706	91.927078	60	7.8125	2	0.26041669
2-10369	381	38	4	2057	993	48.274185	306	14.876034	758	36.849781
2-10370	56	11	4	1829	1634	89.338432	184	10.060142	11	0.60142154
2-10376	72	11	4	1446	1319	91.217148	117	8.0912867	10	0.69156295
2-10380	90	10	3	3453	3219	93.223282	223	6.4581523	11	0.31856358
2-10383	852	144	4	965	563	58.341969	109	11.295337	293	30.362696
2-10384	101	11	2	756	674	89.153442	66	8.7301588	16	2.1164021
2-10393	91	11	4	3431	3166	92.276306	258	7.5196733	7	0.20402215
2-10398	846	47	4	4116	3423	83.163269	297	7.2157435	396	9.6209917
2-10403	1292	133	1	1487	939	63.147278	150	10.087424	398	26.765299
2-10423	57	11	4	3183	2803	88.061577	363	11.404335	17	0.5340873
2-10440	65	11	4	1181	1055	89.33107	118	9.9915323	8	0.67739201
2-10454	83	10	4	4087	3779	92.463913	299	7.3158793	9	0.22021043
2-10482	738	39	4	842	688	81.710213	59	7.0071259	95	11.28266
2-10486	100	11	3	3553	3299	92.851112	222	6.2482409	32	0.90064734
2-10488	44	7	2	62	59	95.161285	2	3.2258062	1	1.6129031
2-10560	862	88	4	1555	1078	69.32476	168	10.803858	309	19.871382
2-10563	81	11	2	1702	1566	92.009399	128	7.5205641	8	0.47003525
2-10567	59	11	2	1877	1712	91.209373	141	7.5119877	24	1.2786361
2-10577	82	11	3	2949	2543	86.23262	393	13.326551	13	0.44082737
2-10580	110	11	4	4040	3697	91.509903	301	7.4504948	42	1.0396039
2-10581	1872	283	4	1081	566	52.358925	72	6.6604996	443	40.980576
2-10584	149	11	4	4190	3879	92.577568	269	6.4200478	42	1.0023867
2-10594	187	11	4	3827	3535	92.370003	259	6.7677031	33	0.86229426
2-10598	1387	278	3	1701	770	45.26749	108	6.3492069	823	48.383305
2-10600	46	11	4	3106	2814	90.598839	284	9.1435928	8	0.257566
2-10611	37	11	4	772	670	86.787567	99	12.823833	3	0.38860103
2-10632	93	11	4	1363	1224	89.80191	127	9.3176823	12	0.88041091
2-10634	68	11	4	1623	1512	93.160812	98	6.0382009	13	0.80098581
2-10635	73	11	4	3404	3087	90.687424	293	8.6075211	24	0.70505285
2-10636	98	12	4	1114	942	84.560143	160	14.362658	12	1.0771992
2-10642	99	11	4	1647	1507	91.499695	132	8.0145721	8	0.4857316
2-10644	886	19	4	3361	2922	86.938408	348	10.354061	91	2.7075276
2-10647	25	10	4	780	729	93.46154	51	6.5384617	0	0
2-10671	140	11	4	3878	3570	92.057762	285	7.3491492	23	0.59308922
2-10679	292	39	4	1466	608	41.473396	270	18.417463	588	40.109138
2-10681	78	11	4	3499	3238	92.540726	247	7.0591598	14	0.40011433
2-10682	76	11	3	2783	2533	91.016891	229	8.2285309	21	0.75458139
2-10684	34	10	4	1334	1232	92.353821	99	7.4212894	3	0.22488755
2-10685	78	11	4	1411	1274	90.290573	126	8.9298363	11	0.77958894
2-10701	57	10	4	2058	1919	93.245872	134	6.5111756	5	0.24295433
2-1074	96	11	4	2857	2632	92.124603	214	7.4903741	11	0.38501924
2-1085	105	11	4	3932	3581	91.073242	320	8.1383514	31	0.78840286
2-1137	80	11	4	1400	1282	91.571426	110	7.8571429	8	0.57142854
2-11475	70	11	4	3432	3089	90.005829	338	9.848485	5	0.14568764
2-11476	97	11	4	3585	3327	92.803345	240	6.6945605	18	0.50209206
2-11705	705	19	4	2751	2466	89.640129	208	7.5608873	77	2.7989821
2-1192	105	11	4	1389	1277	91.936646	105	7.5593958	7	0.50395972
2-1222	35	10	4	3328	3145	94.501205	181	5.4387016	2	6.0096156E-2
2-1230	101	11	4	1379	1247	90.427849	113	8.1943436	19	1.37781
2-1236	76	11	4	3127	2841	90.853851	249	7.9629035	37	1.1832427
2-1254	77	11	4	2924	2513	85.943916	397	13.577291	14	0.47879615
2-1328	881	20	4	3164	2583	81.637169	474	14.981037	107	3.3817952
2-1341	79	11	4	3952	3697	93.547569	238	6.0222669	17	0.43016192
2-1345	889	28	4	1642	1450	88.306946	107	6.5164433	85	5.1766138
2-1346	107	11	5	1716	1566	91.258743	141	8.2167835	9	0.52447551
2-1347	289	12	4	3467	3157	91.058556	237	6.8358808	73	2.105567
2-1353	107	10	4	3612	3382	93.632332	204	5.6478405	26	0.71982282
2-1361	79	11	4	3032	2671	88.093666	349	11.510554	12	0.39577839
2-1370	70	11	4	1240	1124	90.645164	106	8.5483875	10	0.80645156
2-1379	81	11	4	1470	1348	91.700676	116	7.8911567	6	0.40816325
2-1381	270	12	4	1329	1218	91.647858	93	6.9977427	18	1.3544018
2-1386	63	10	4	1632	1501	91.973038	123	7.5367646	8	0.49019611
2-1395	75	11	4	2962	2743	92.606346	205	6.9209995	14	0.4726536
2-143	23	10	4	225	211	93.777779	14	6.2222223	0	0
2-1431	147	12	4	2995	2639	88.113525	263	8.7813015	93	3.1051753
2-1444	1937	458	4	1890	385	20.370371	121	6.4021163	1384	73.227516
2-1447	89	10	4	1421	1319	92.821953	94	6.6150599	8	0.56298381
2-1476	100	11	4	1388	1295	93.299713	85	6.1239195	8	0.57636887
2-149	166	11	4	2795	2533	90.626122	233	8.3363142	29	1.0375671
2-1495	53	11	4	1416	1291	91.172318	119	8.4039545	6	0.42372882
2-1503	69	10	4	1627	1524	93.669334	100	6.1462817	3	0.18438844
2-1538	103	11	4	1503	1306	86.892876	183	12.175649	14	0.93147039
2-1571	33	11	4	1480	1372	92.702705	106	7.1621618	2	0.13513514
2-160	35	11	4	1520	1378	90.657898	140	9.2105265	2	0.13157895
2-1610	132	11	1	3800	3533	92.973686	244	6.4210525	23	0.60526311
2-1614	43	10	4	1643	1526	92.878876	111	6.7559338	6	0.36518565
2-1622	91	10	4	1609	1494	92.852707	112	6.960845	3	0.18645121
2-1624	768	111	5	807	445	55.142506	68	8.4262695	294	36.431225
2-1636	120	12	4	1881	1672	88.888893	170	9.0377455	39	2.0733652
2-1653	99	11	4	2643	2433	92.054489	199	7.5293226	11	0.41619372
2-1663	114	11	4	3171	2895	91.29612	239	7.5370541	37	1.1668243
2-1687	107	11	4	1608	1436	89.303482	146	9.0796022	26	1.6169155
