VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10001	33	10	4	1818	1716	94.389435	98	5.3905392	4	0.22002201
2-10002	112	10	4	4029	3807	94.489952	205	5.0881109	17	0.42194092
2-10005	37	11	2	147	132	89.795914	14	9.5238094	1	0.6802721
2-1011	95	11	4	1159	1064	91.803276	88	7.5927525	7	0.60396892
2-1022	80	10	4	2998	2797	93.295532	187	6.2374916	14	0.46697798
2-10359	69	10	3	2499	2330	93.237289	160	6.4025612	9	0.36014405
2-10370	79	10	4	3655	3413	93.378929	234	6.4021883	8	0.21887824
2-10375	192	11	4	3327	3068	92.21521	245	7.3639913	14	0.42079952
2-10380	77	10	2	3350	3130	93.432838	215	6.4179106	5	0.14925373
2-10383	922	241	5	743	297	39.973083	58	7.806191	388	52.220726
2-10393	43	10	3	850	809	95.176468	37	4.352941	4	0.47058821
2-10423	80	10	4	3178	2976	93.643799	195	6.1359348	7	0.22026432
2-10440	26	11	6	94	81	86.170212	13	13.829787	0	0
2-10454	25	10	4	1663	1567	94.227303	96	5.7726998	0	0
2-10486	104	10	1	2644	2471	93.456879	164	6.202723	9	0.34039333
2-10488	61	11	4	1314	1213	92.313545	95	7.2298326	6	0.45662099
2-10560	1801	642	5	351	86	24.501425	12	3.4188037	253	72.079773
2-10563	24	11	5	87	84	96.55172	3	3.4482758	0	0
2-10580	24	10	4	1273	1200	94.265518	73	5.7344856	0	0
2-10581	29	10	1	144	111	77.083328	33	22.916668	0	0
2-10584	78	10	4	3125	2943	94.176003	171	5.4720001	11	0.352
2-10594	63	11	4	1603	1478	92.202118	112	6.9868999	13	0.81097943
2-10598	925	42	4	1674	1319	78.793312	194	11.589008	161	9.6176825
2-10632	886	29	4	1708	1296	75.87822	166	9.7189693	246	14.40281
2-10636	81	11	4	3468	3195	92.128029	248	7.1510954	25	0.72087657
2-10642	36	10	3	1662	1557	93.682312	104	6.2575212	1	6.0168475E-2
2-10644	60	10	3	2941	2706	92.009521	225	7.6504588	10	0.34002039
2-10647	27	10	6	70	66	94.285713	4	5.7142859	0	0
2-10657	104	11	4	2907	2685	92.363266	194	6.6735468	28	0.96319234
2-10671	71	10	4	1842	1747	94.842567	89	4.8317046	6	0.32573289
2-10681	72	10	4	3692	3469	93.959915	216	5.8504877	7	0.18959914
2-10682	37	11	3	2777	2566	92.401871	207	7.4540868	4	0.14404033
2-10700	1794	507	5	273	82	30.036631	12	4.3956046	179	65.567764
2-1074	78	11	4	2748	2540	92.430862	197	7.1688504	11	0.40029112
2-1085	79	10	4	3875	3648	94.141937	220	5.6774197	7	0.18064515
2-11475	4389	136	4	3761	2968	78.915184	305	8.1095448	488	12.975272
2-11476	47	10	2	3181	2980	93.681236	199	6.2558942	2	6.2873304E-2
2-11705	303	10	4	1804	1698	94.124168	101	5.5986695	5	0.27716187
2-1236	77	10	4	2774	2601	93.763519	164	5.9120407	9	0.32444122
2-1254	814	18	4	3051	2784	91.248772	206	6.7518845	61	1.9993445
2-1341	91	11	4	3316	3072	92.641739	236	7.1170082	8	0.24125452
2-1353	85	11	4	3710	3447	92.911057	233	6.280323	30	0.80862528
2-1361	67	10	3	1605	1499	93.395638	98	6.1059194	8	0.49844235
2-1386	38	11	4	1490	1345	90.268456	141	9.4630871	4	0.2684564
2-1395	56	10	4	3252	3002	92.312424	245	7.5338254	5	0.15375154
2-1447	38	11	4	1650	1512	91.636368	137	8.303031	1	6.0606062E-2
2-149	40	11	4	1554	1436	92.406693	116	7.4646077	2	0.12870014
2-1610	101	11	4	1651	1512	91.580864	122	7.389461	17	1.0296789
