VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10001	81	11	4	3087	2847	92.225464	230	7.4505992	10	0.32393909
2-10002	68	10	3	3276	3004	91.697189	254	7.7533579	18	0.54945058
2-10005	107	10	3	1446	1363	94.260025	75	5.1867223	8	0.55325037
2-1011	72	11	4	1889	1764	93.382736	116	6.1408153	9	0.47644255
2-1022	37	11	4	1410	1306	92.624115	102	7.2340431	2	0.14184397
2-10336	80	11	4	2569	2373	92.370567	189	7.3569484	7	0.27247956
2-10343	20	10	4	1130	1083	95.840714	47	4.1592922	0	0
2-10345	1266	22	4	2937	2623	89.308815	243	8.2737494	71	2.4174328
2-10348	76	10	3	3140	2951	93.980888	178	5.6687899	11	0.35031849
2-10356	74	11	4	3080	2831	91.915581	238	7.727273	11	0.35714287
2-10359	143	12	2	1851	1646	88.924904	167	9.02215	38	2.0529444
2-10369	400	36	4	1876	962	51.27932	283	15.085287	631	33.635395
2-10370	130	11	4	4185	3923	93.739548	235	5.615293	27	0.64516127
2-10380	80	11	4	3424	3176	92.757011	239	6.9801407	9	0.26285046
2-10383	84	11	3	1661	1497	90.126434	160	9.6327515	4	0.24081878
2-10384	78	11	2	1717	1606	93.53524	103	5.9988356	8	0.46592894
2-10393	58	10	4	3434	3213	93.564354	217	6.3191614	4	0.11648224
2-10403	3816	1413	4	1759	271	15.406481	50	2.8425241	1438	81.750992
2-10423	301	13	4	1493	1351	90.488945	120	8.037508	22	1.4735433
2-10440	102	11	4	1658	1546	93.244873	102	6.1519904	10	0.6031363
2-10454	77	11	4	3581	3255	90.8964	309	8.6288738	17	0.47472772
2-10486	119	11	3	3504	3293	93.97831	176	5.022831	35	0.99885845
2-10488	83	10	1	2032	1893	93.159447	130	6.3976378	9	0.44291341
2-10563	67	11	4	1656	1530	92.391304	121	7.3067636	5	0.30193236
2-10567	102	11	4	1728	1584	91.666672	132	7.6388888	12	0.69444448
2-10580	85	11	2	2791	2534	90.791832	244	8.7423859	13	0.46578288
2-10581	886	16	3	1699	1390	81.812828	262	15.420836	47	2.7663331
2-10584	164	10	2	3525	3299	93.588654	204	5.7872338	22	0.6241135
2-10594	83	10	2	3146	2929	93.102356	209	6.6433563	8	0.25429115
2-10598	35	11	4	1716	1560	90.909096	155	9.0326338	1	5.8275059E-2
2-10600	279	11	2	2849	2622	92.032288	202	7.0902071	25	0.87750089
2-10604	60	10	4	1895	1783	94.089714	102	5.382586	10	0.52770448
2-10611	54	10	4	1551	1467	94.584137	80	5.1579623	4	0.25789812
2-10634	703	25	4	1520	1371	90.197365	79	5.1973686	70	4.6052632
2-10636	64	11	3	1630	1506	92.392639	120	7.3619633	4	0.24539877
2-10642	272	11	4	3036	2804	92.358368	204	6.719368	28	0.92226613
2-10644	79	11	4	3590	3313	92.284126	252	7.0194988	25	0.69637883
2-10647	148	12	3	2083	1863	89.438309	190	9.12146	30	1.4402305
2-10657	101	11	3	646	583	90.247681	52	8.0495358	11	1.7027864
2-10671	53	10	4	2965	2809	94.738617	153	5.1602025	3	0.10118043
