VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10001	185	12	1	2930	2649	90.409561	207	7.064846	74	2.5255973
2-10002	76	11	4	1557	1424	91.457932	129	8.2851639	4	0.2569043
2-1011	80	11	1	1948	1812	93.018478	127	6.5195069	9	0.46201232
2-1022	68	11	4	2647	2408	90.970909	238	8.9913111	1	3.7778616E-2
2-10339	97	11	4	3098	2808	90.639122	271	8.7475796	19	0.61329889
2-10343	67	11	4	1364	1228	90.02932	129	9.4574776	7	0.51319653
2-10345	186	11	3	1644	1499	91.180054	131	7.96837	14	0.85158151
2-10348	69	11	4	3199	2922	91.341042	270	8.4401379	7	0.21881838
2-10356	85	11	1	2987	2726	91.262138	242	8.1017742	19	0.63608974
2-10358	61	10	0	1665	1535	92.192192	125	7.5075073	5	0.3003003
2-10363	33	11	3	3283	2987	90.983856	295	8.9856844	1	3.0459944E-2
2-10369	228	33	5	813	424	52.152519	129	15.867159	260	31.98032
2-10370	712	16	0	2995	2698	90.083473	241	8.0467443	56	1.869783
2-10375	29	10	4	377	358	94.960213	19	5.0397878	0	0
2-10376	80	11	4	2848	2578	90.519661	248	8.7078657	22	0.7724719
2-10380	71	11	3	3367	3044	90.406891	296	8.7912092	27	0.80190074
2-10384	91	11	1	2034	1842	90.560471	181	8.8987217	11	0.54080629
2-10393	278	12	4	3239	2974	91.818466	214	6.6069775	51	1.57456
2-10403	1927	324	0	1780	584	32.80899	115	6.4606743	1081	60.730339
2-10418	104	11	4	3397	3120	91.845741	266	7.8304386	11	0.32381514
2-10423	14501	53	4	3298	2928	88.781075	279	8.459672	91	2.759248
2-10440	100	10	1	2830	2617	92.473503	207	7.3144875	6	0.21201414
2-10454	270	14	4	3786	3306	87.321709	384	10.142632	96	2.5356579
2-10486	96	11	4	3572	3262	91.321388	285	7.978723	25	0.69988805
2-10490	111	12	4	1196	1058	88.461533	121	10.117057	17	1.4214047
2-10492	269	11	1	3018	2804	92.90921	187	6.1961565	27	0.89463222
2-10560	31398	181	4	1566	808	51.596428	184	11.749681	574	36.653893
2-10563	53	10	4	3048	2789	91.502625	257	8.4317589	2	6.5616801E-2
2-10567	75	11	4	1608	1482	92.164177	121	7.5248756	5	0.31094527
2-10570	65	10	4	2986	2742	91.828529	235	7.87006	9	0.30140656
2-10577	94	11	4	3220	2996	93.04348	214	6.6459627	10	0.310559
2-10580	69	11	4	3346	3065	91.601913	274	8.1888828	7	0.20920502
2-10584	74	10	4	3793	3555	93.725281	232	6.1165304	6	0.15818612
2-10594	1764	186	4	3759	1927	51.263638	448	11.918063	1384	36.818302
2-10598	52	11	4	1645	1499	91.124619	140	8.5106382	6	0.36474162
2-10600	27	10	4	2569	2383	92.759827	186	7.240171	0	0
2-10604	73	11	4	2717	2513	92.491714	197	7.2506442	7	0.25763708
2-10611	66	11	4	1317	1176	89.293846	137	10.40243	4	0.30372056
2-10632	109	11	4	3539	3187	90.053688	323	9.1268721	29	0.81944054
2-10636	27	10	4	3142	2905	92.457031	237	7.5429664	0	0
2-10642	61	11	4	2767	2515	90.892662	246	8.8904953	6	0.21684135
2-10644	35	10	2	1550	1467	94.645157	82	5.2903228	1	6.4516135E-2
2-10646	79	10	2	1558	1439	92.362007	112	7.1887031	7	0.44929394
2-10660	276	12	4	3141	2898	92.263611	212	6.7494431	31	0.98694682
2-10662	48	11	1	3254	2938	90.288879	311	9.5574675	5	0.15365703
2-10671	80	11	4	3611	3165	87.648849	408	11.298809	38	1.05234
2-10679	311	37	4	1418	690	48.660084	214	15.091679	514	36.248238
2-10681	171	11	2	3535	3174	89.787834	323	9.1371994	38	1.0749646
2-10682	277	12	4	2711	2412	88.970856	262	9.6643305	37	1.36481
2-10684	31	11	2	1288	1143	88.742241	144	11.180124	1	7.7639751E-2
2-10685	51	11	3	1354	1223	90.324959	128	9.4534712	3	0.22156574
2-10700	1857	140	3	1727	1146	66.357841	152	8.8013897	429	24.840765
2-1074	27	10	1	1329	1234	92.851768	95	7.1482315	0	0
2-1085	28	10	4	3504	3301	94.206619	203	5.7933788	0	0
2-1137	364	11	4	1452	1337	92.079887	112	7.7134991	3	0.20661156
2-11475	108	11	3	3017	2808	93.072586	199	6.5959563	10	0.33145511
2-11704	32	11	4	842	754	89.548698	86	10.213777	2	0.2375297
2-11705	750	18	4	4135	3639	88.004837	351	8.488513	145	3.5066504
2-1192	49	10	4	1111	1031	92.799286	77	6.9306931	3	0.27002698
2-1230	848	27	4	1345	1144	85.055763	136	10.111525	65	4.8327136
2-1236	93	10	4	3393	3139	92.514	231	6.8081341	23	0.67786622
2-1254	74	11	2	1770	1594	90.056496	173	9.7740116	3	0.16949153
2-132	101	11	3	1513	1372	90.680763	118	7.7990746	23	1.5201586
2-1328	100	11	4	1181	1086	91.955971	91	7.7053347	4	0.338696
2-1341	78	11	4	3447	3046	88.366692	391	11.343197	10	0.29010734
2-1345	108	11	4	1580	1459	92.341774	115	7.278481	6	0.37974682
2-1347	52	11	4	1531	1395	91.11692	133	8.6871328	3	0.19595036
2-1353	23	10	4	1367	1270	92.904167	97	7.09583	0	0
2-1361	26	10	4	3251	2975	91.5103	276	8.4896955	0	0
2-1370	28	11	4	1410	1298	92.05674	112	7.9432621	0	0
2-1375	201	11	4	2989	2718	90.933426	237	7.9290733	34	1.1375042
2-1379	24	10	4	1666	1546	92.797119	120	7.2028809	0	0
2-1381	33	11	3	1279	1178	92.10321	99	7.7404222	2	0.15637217
2-1386	31	10	0	1553	1450	93.367676	102	6.5679326	1	6.4391501E-2
2-1387	5386	1463	4	3533	325	9.1989803	49	1.3869232	3159	89.414093
2-1395	30	10	1	1507	1412	93.696091	95	6.3039155	0	0
2-143	29	10	2	967	895	92.554291	72	7.4457088	0	0
2-1444	99	10	1	1371	1259	91.83078	107	7.804522	5	0.36469731
2-1447	115	11	4	3051	2783	91.215988	243	7.964602	25	0.81940347
2-1476	31	10	4	1860	1725	92.741936	134	7.2043009	1	5.3763442E-2
2-149	1389	105	4	745	528	70.872482	71	9.5302019	146	19.597317
2-1495	80	10	4	3104	2864	92.268044	233	7.5064435	7	0.22551546
2-1571	240	11	4	3177	2884	90.777466	268	8.4356308	25	0.78690594
2-160	72	10	4	1439	1335	92.772758	102	7.0882559	2	0.13898541
2-1610	93	11	4	3377	3113	92.182411	257	7.6103048	7	0.20728458
2-1622	24	10	4	1314	1227	93.378998	87	6.6210046	0	0
2-1624	1017	119	4	1740	817	46.954025	195	11.206897	728	41.839081
2-1636	63	11	4	1883	1707	90.653214	169	8.9750404	7	0.3717472
