VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10001	81	11	4	2940	2700	91.836731	233	7.9251699	7	0.23809525
2-10002	120	11	4	3333	2991	89.738968	320	9.6009607	22	0.66006601
2-10005	18	10	5	71	68	95.774651	3	4.2253518	0	0
2-1011	33	10	2	1888	1786	94.597458	101	5.349576	1	5.2966103E-2
2-1022	61	10	4	3408	3192	93.661972	212	6.2206573	4	0.1173709
2-10336	101	11	4	3409	3134	91.933121	251	7.3628626	24	0.70401877
2-10339	4588	98	1	3394	2898	85.385979	269	7.9257512	227	6.6882739
2-10343	37	10	4	1165	1086	93.218887	77	6.6094422	2	0.17167382
2-10348	96	11	4	3154	2923	92.675964	205	6.4996829	26	0.82435
2-10356	280	12	4	3139	2838	90.410957	273	8.6970377	28	0.89200383
2-10359	24	10	4	1025	965	94.146339	60	5.8536587	0	0
2-10369	301	23	4	1610	1152	71.552795	164	10.186336	294	18.26087
2-10370	97	11	4	3217	3007	93.472176	195	6.0615482	15	0.46627292
2-10375	69	11	4	3280	2981	90.884148	294	8.9634142	5	0.15243901
2-10376	271	11	4	1384	1297	93.713875	84	6.0693641	3	0.216763
2-10380	78	11	4	3396	3039	89.487633	333	9.8056536	24	0.7067138
2-10383	2551	194	1	1935	1167	60.310078	179	9.2506456	589	30.439276
2-10384	33	10	4	1808	1692	93.584076	115	6.3606195	1	5.5309735E-2
2-10393	158	11	4	3255	2994	91.981567	234	7.18894	27	0.82949305
2-10398	35	10	4	3834	3605	94.027122	227	5.9207091	2	5.2164838E-2
2-10403	1095	257	2	1528	591	38.678013	95	6.2172775	842	55.104713
2-10423	66	11	4	806	751	93.176178	50	6.203474	5	0.62034738
2-10454	27	10	4	3102	2934	94.584137	168	5.4158607	0	0
2-10482	84	11	4	1663	1527	91.822014	131	7.8773303	5	0.30066144
2-10486	1795	188	4	3323	1073	32.290096	309	9.2988262	1941	58.411072
2-10488	72	10	2	1604	1435	89.463844	164	10.22444	5	0.3117207
2-10560	1203	153	2	1005	591	58.805973	139	13.830845	275	27.363184
2-10563	70	10	2	1543	1436	93.06546	102	6.6104994	5	0.32404408
2-10567	42	10	1	1689	1586	93.901718	100	5.9206629	3	0.1776199
2-10577	57	11	4	3443	3197	92.855064	228	6.6221318	18	0.52279991
2-10580	31	11	4	1794	1617	90.133781	176	9.8104801	1	5.5741362E-2
2-10581	715	18	3	877	711	81.071838	124	14.139112	42	4.7890534
2-10584	108	11	4	3760	3516	93.510643	220	5.8510637	24	0.63829786
2-10594	111	11	4	3824	3549	92.808571	255	6.6684098	20	0.52301258
2-10598	23	11	5	62	56	90.322578	6	9.6774187	0	0
2-10600	106	10	3	1390	1293	93.021584	89	6.4028778	8	0.57553959
2-10604	19	10	5	79	76	96.202538	3	3.7974682	0	0
2-10632	300	23	7	114	75	65.789474	28	24.561403	11	9.6491222
2-10634	81	10	4	2576	2428	94.254662	134	5.2018633	14	0.54347825
2-10636	40	11	4	619	571	92.245552	45	7.2697902	3	0.48465267
2-10644	131	11	4	3458	3206	92.712555	240	6.9404283	12	0.3470214
2-10647	35	10	2	1424	1336	93.820229	87	6.1095505	1	7.0224717E-2
2-10671	43	10	3	1645	1510	91.793312	132	8.0243158	3	0.18237081
2-10679	374	35	3	1410	733	51.985817	193	13.687943	484	34.326241
2-10681	73	10	4	3208	3028	94.38903	169	5.2680798	11	0.34289277
2-10682	98	11	2	3149	2744	87.138771	374	11.876786	31	0.98443955
2-10684	81	11	4	3124	2874	91.997437	239	7.6504483	11	0.35211268
2-10685	59	10	4	1333	1240	93.023262	88	6.6016502	5	0.37509379
2-10700	1878	199	4	4061	2023	49.815315	431	10.61315	1607	39.571537
2-10701	78	11	4	623	582	93.418938	37	5.9390049	4	0.64205456
2-1085	109	11	2	3769	3473	92.146454	275	7.2963648	21	0.55717695
2-11475	100	11	4	3070	2779	90.521172	288	9.3811073	3	9.7719871E-2
2-11476	3495	135	3	3035	2613	86.095551	218	7.1828661	204	6.7215815
2-11704	39	11	2	3231	2986	92.417213	240	7.428041	5	0.15475085
2-11705	89	10	3	2967	2777	93.59623	180	6.0667338	10	0.33704078
2-1192	891	28	2	1600	1438	89.875	103	6.4375	59	3.6874998
2-1222	71	11	4	1594	1467	92.032623	125	7.8419075	2	0.12547052
2-1236	75	11	4	3179	2939	92.450455	209	6.5743947	31	0.97514939
2-1254	80	11	4	3313	3029	91.427704	269	8.1195297	15	0.45276186
2-132	79	10	4	1625	1522	93.661537	94	5.7846155	9	0.55384618
2-1345	116	11	4	3754	3471	92.46138	264	7.0324988	19	0.50612676
2-1347	68	11	4	1499	1396	93.128754	97	6.4709806	6	0.40026686
2-1353	68	10	4	4092	3825	93.475075	259	6.329423	8	0.19550341
2-1361	77	10	4	3025	2830	93.553719	187	6.181818	8	0.2644628
2-1370	66	11	4	1502	1380	91.877495	110	7.3235683	12	0.79893482
2-1375	18	10	6	49	46	93.877556	3	6.1224489	0	0
2-1379	60	10	4	1819	1706	93.787796	109	5.9923034	4	0.21990104
2-1381	60	11	4	1576	1450	92.005074	121	7.6776648	5	0.31725886
2-1386	78	11	3	3338	3062	91.731575	258	7.7291794	18	0.53924501
2-1387	55350	45692	35319	1132	0	0	0	0	1132	100
2-1395	89	11	4	3183	2941	92.39711	230	7.2258873	12	0.37700284
2-143	71	10	3	3358	3176	94.580109	176	5.2412148	6	0.17867778
2-1431	109	11	4	1528	1412	92.408379	104	6.8062825	12	0.78534025
2-1444	80	10	4	1558	1484	95.25032	70	4.4929395	4	0.25673941
2-149	1403	81	2	3079	1322	42.93602	505	16.40143	1252	40.662556
2-1495	43	10	4	1585	1485	93.690857	98	6.1829653	2	0.12618296
2-1503	34	10	2	1262	1148	90.966721	113	8.9540415	1	7.9239309E-2
2-1538	36	10	2	1544	1485	96.178757	58	3.7564766	1	6.4766839E-2
2-1571	67	10	3	2930	2733	93.276451	191	6.5187716	6	0.20477816
2-160	68	11	5	1679	1561	92.972008	114	6.7897558	4	0.23823704
2-1610	100	11	3	3431	3157	92.013992	265	7.7236958	9	0.2623142
2-1614	31	10	4	1258	1175	93.402222	82	6.5182829	1	7.9491258E-2
2-1618	80	11	4	3323	3090	92.988266	218	6.5603366	15	0.45139933
2-1622	31	10	1	1436	1349	93.941505	86	5.9888577	1	0.06963788
2-1636	62	11	4	1842	1723	93.539635	105	5.7003255	14	0.76004338
2-1653	61	11	4	1649	1527	92.601578	114	6.9132805	8	0.4851425
2-1663	90	11	4	3479	3252	93.475136	207	5.9499855	20	0.57487786
2-1681	4509	444	4	1291	916	70.952751	91	7.048799	284	21.998449
2-1685	162	12	4	1571	1432	91.15213	105	6.683641	34	2.1642265
2-1687	74	11	4	1373	1229	89.512024	134	9.7596502	10	0.7283321
2-1716	81	10	4	2722	2561	94.085236	156	5.7310801	5	0.18368846
2-17394	59	11	4	2328	2139	91.881439	181	7.7749143	8	0.34364262
2-17403	281	12	5	1327	1188	89.525246	123	9.2690277	16	1.2057272
2-17405	76	11	3	2901	2634	90.79628	259	8.9279566	8	0.27576697
2-17407	2929	227	4	1617	1350	83.487938	102	6.3079777	165	10.204082
2-17440	98	11	4	3153	2833	89.850937	308	9.7684746	12	0.3805899
2-17465	71	11	4	3172	2930	92.370743	237	7.4716272	5	0.15762925
