VehicleID	MaxDelay	AvgDelay	MinDelay	PointsTotal	Points15	Percent15	Points16-30	Percent16-30	Points30	Percent30
---------	--------	--------	--------	-----------	--------	---------	-----------	------------	--------	---------
2-10001	275	13	2	1597	1455	91.10833	104	6.5122104	38	2.3794615
2-10002	184	11	4	3167	2919	92.169243	232	7.3255448	16	0.50520998
2-1011	287	15	3	1903	1718	90.278503	89	4.676826	96	5.0446663
2-1022	24	11	5	972	889	91.460907	83	8.5390949	0	0
2-10336	103	12	4	3398	3006	88.463799	285	8.3872871	107	3.1489112
2-10339	139	11	3	2884	2598	90.083221	244	8.4604721	42	1.4563107
2-10343	277	15	4	1161	991	85.357452	118	10.163652	52	4.4788976
2-10348	101	11	4	2882	2641	91.637756	215	7.4600973	26	0.90215135
2-10356	170	11	4	3132	2861	91.347382	242	7.7266922	29	0.92592591
2-10359	443	15	2	1939	1733	89.375969	121	6.2403297	85	4.3837028
2-10369	299	38	4	1978	954	48.230534	288	14.560162	736	37.209301
2-10370	295	13	4	3143	2775	88.291443	284	9.0359535	84	2.6726058
2-10375	300	15	2	928	841	90.625	54	5.8189654	33	3.5560343
2-10376	272	13	4	1821	1607	88.248215	144	7.907743	70	3.8440418
2-10380	165	11	3	2116	1970	93.100189	125	5.9073725	21	0.99243855
2-10384	268	14	4	1813	1652	91.11969	103	5.6811914	58	3.1991177
2-10393	269	13	3	3269	2921	89.354546	263	8.0452738	85	2.6001835
2-10398	139	11	4	3947	3704	93.843422	216	5.4725108	27	0.68406385
2-10403	1015	124	6	92	62	67.391304	8	8.695652	22	23.913044
2-10423	124	11	4	3322	3012	90.668274	280	8.4286575	30	0.90307045
2-10440	282	12	4	2347	2143	91.308052	170	7.243289	34	1.4486579
2-10482	284	14	3	1501	1347	89.740173	106	7.0619593	48	3.1978681
2-10486	545	53	4	3657	2157	58.982773	435	11.894996	1065	29.122231
2-10488	282	15	4	1650	1473	89.272728	121	7.333333	56	3.3939395
2-10560	3704	860	4	829	172	20.74789	30	3.6188178	627	75.633293
2-10563	98	11	1	2050	1887	92.048782	134	6.5365849	29	1.4146341
2-10567	272	15	4	1587	1422	89.603027	99	6.2381854	66	4.1587901
2-10570	275	12	4	3521	3101	88.071571	327	9.2871342	93	2.6412952
2-10577	299	12	4	3171	2804	88.426361	296	9.3345947	71	2.2390413
2-10580	20	11	5	57	49	85.964912	8	14.035088	0	0
2-10581	33393	9366	4	1696	606	35.731133	51	3.0070755	1039	61.261791
2-10584	281	12	4	1626	1516	93.234932	77	4.7355471	33	2.0295203
2-10594	278	13	4	3575	3201	89.53846	274	7.6643357	100	2.7972028
2-10598	19	12	9	3	2	66.666672	1	33.333336	0	0
2-10600	113	11	4	2915	2691	92.315605	208	7.1355062	16	0.54888505
2-10634	100	11	2	1891	1744	92.226334	127	6.7160234	20	1.0576415
2-10636	195	12	2	1400	1288	92	79	5.6428571	33	2.3571427
2-10642	130	11	2	2819	2625	93.118126	174	6.1724014	20	0.7094714
2-10644	818	21	3	2348	2088	88.926743	174	7.410562	86	3.6626916
2-10647	248	12	4	1052	991	94.201523	47	4.4676805	14	1.3307985
2-10671	272	12	3	3175	2859	90.047249	251	7.9055114	65	2.0472441
2-10679	344	40	2	1630	829	50.858898	231	14.17178	570	34.969322
2-10681	105	10	2	3299	3082	93.422249	208	6.3049407	9	0.27280995
2-10685	280	13	4	1327	1193	89.902039	100	7.5357952	34	2.5621703
2-10700	1113	207	4	2030	985	48.522167	170	8.3743839	875	43.103447
2-10701	62	10	2	595	557	93.613449	32	5.3781514	6	1.0084034
2-1085	239	12	4	1747	1589	90.955925	126	7.2123637	32	1.8317114
