mode	RunID	Tipas	Pavadinimas	planStartTime	startTime	ahead	aStop	aStopTime	behind	bStop	bStopTime	TripLine	Transport	Line	Run	GPSNum	planEndTime	endTime	irregularAllStops	irregularEndPoints
----	-----	-----	-----------	-------------	---------	-----	-----	---------	------	-----	---------	--------	---------	----	---	------	-----------	-------	-----------------	------------------
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	366	366	-2.0999999	„Sparta“	373.20001	-1.4	Vikingų st.	383.70001	1	Autobusai	1	01-Ž	2-2963	388	386	0	0
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	391	391	-2.2	Aguonų st.	406.10001	0.89999998	Vikingų st.	394.89999	1	Autobusai	1	01-Ž	2-2963	410	407	0	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	415	415	-2.2	„Sparta“	423.10001	0	Stotis	416.10001	1	Autobusai	1	01-Ž	2-2963	438	436	0	0
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	443	444	-2	Aguonų st.	458.29999	1.1	Vikingų slėnis	449.10001	1	Autobusai	1	01-Ž	2-2963	462	459	0	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	476	476	-2.0999999	Prūsų st.	486.89999	0.30000001	Stotis	477.60001	1	Autobusai	1	01-Ž	2-2963	499	498	0	0
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	504	505	-2.0999999	Aguonų st.	518.29999	2	Vikingų st.	508	1	Autobusai	1	01-Ž	2-2963	522	519	0	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	556	558	-0.69999999	Vikingų st.	574.40002	1.7	Stotis	559.09998	1	Autobusai	1	01-Ž	2-2963	578	577	0	0
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	587	588	-0.89999998	Aguonų st.	602.5	1.7	Vikingų st.	590.70001	1	Autobusai	1	01-Ž	2-2963	605	603	0	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	627	626	-2.0999999	Prūsų st.	637.90002	-0.2	Stotis	628.09998	1	Autobusai	1	01-Ž	2-2963	650	648	0	0
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	655	655	-1.3	„Sparta“	669.20001	1	Vikingų slėnis	661	1	Autobusai	1	01-Ž	2-2963	674	672	0	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	679	679	-2.0999999	Prūsų st.	689.90002	0.1	Stotis	680.09998	1	Autobusai	1	01-Ž	2-2963	702	700	0	0
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	707	707	-0.1	„Sparta“	722.40002	0.89999998	Vikingų slėnis	712.90002	1	Autobusai	1	01-Ž	2-2963	726	725	0	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	732	732	-2.2	Prūsų st.	742.79999	0.40000001	Stotis	733.59998	1	Autobusai	1	01-Ž	2-2963	755	754	0	0
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	760	760	-2.2	Aguonų st.	775	1	Vikingų slėnis	766	1	Autobusai	1	01-Ž	2-2963	779	776	0	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	784	785	-2.0999999	Prūsų st.	795	0.30000001	Stotis	785.29999	1	Autobusai	1	01-Ž	2-2963	807	806	0	0
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	812	812	-1.1	Aguonų st.	828.20001	1.6	Vikingų slėnis	818.59998	1	Autobusai	1	01-Ž	2-2963	831	829	0	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	841	842	-2.4000001	Prūsų st.	851.70001	-0.80000001	Aguonų st.	846.29999	1	Autobusai	1	01-Ž	2-2963	864	862	0	0
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	869	870	0.1	Aguonų st.	886.5	2.2	Vikingų slėnis	876.20001	1	Autobusai	1	01-Ž	2-2963	888	887	0	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	906	910	-0.30000001	Prūsų st.	918.79999	2.2	Aguonų st.	914.29999	1	Autobusai	1	01-Ž	2-2963	929	930	0	1
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	934	936	0.69999999	Aguonų st.	951.90002	2.7	Vikingų slėnis	941.70001	1	Autobusai	1	01-Ž	2-2963	953	953	0	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	958	958	-2.5	Prūsų st.	968.59998	-1.6	Naujininkai	970.40002	1	Autobusai	1	01-Ž	2-2963	981	979	0	0
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	986	987	-1.2	„Sparta“	1000.2	1.7	Vikingų slėnis	992.70001	1	Autobusai	1	01-Ž	2-2963	1005	1003	0	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	1011	1013	0.69999999	Prūsų st.	1024.7	3.4000001	Aguonų st.	1020.5	1	Autobusai	1	01-Ž	2-2963	1034	1036	1	0
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	1039	1041	1.2	Oro uostas	1040.3	3.7	Prūsų st.	1053.7	1	Autobusai	1	01-Ž	2-2963	1058	1060	1	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	1096	1104	2.0999999	Prūsų st.	1110.2	4.3000002	Aguonų st.	1105.4	1	Autobusai	1	01-Ž	2-2963	1118	1121	1	1
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	1123	1126	-0.60000002	Aguonų st.	1139.8	3.3	Vikingų slėnis	1131.3	1	Autobusai	1	01-Ž	2-2963	1142	1140	1	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	1148	1151	0.30000001	Prūsų st.	1161.4	1.8	Aguonų st.	1155.9	1	Autobusai	1	01-Ž	2-2963	1171	1172	0	1
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	1176	1177	0.60000002	Oro uostas	1176.8	3.8	Prūsų st.	1190.8	1	Autobusai	1	01-Ž	2-2963	1195	1196	1	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	1200	1200	-2.4000001	Prūsų st.	1210.7	0.40000001	Stotis	1201.4	1	Autobusai	1	01-Ž	2-2963	1223	1222	0	0
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	1228	1228	0.2	Oro uostas	1228.4	1.6	Prūsų st.	1240.6	1	Autobusai	1	01-Ž	2-2963	1247	1247	0	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	1252	1254	2.2	Prūsų st.	1267.2	3.8	Aguonų st.	1261.9	1	Autobusai	1	01-Ž	2-2963	1275	1278	1	0
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	1280	1281	-0.89999998	Aguonų st.	1296.5	2.2	Vikingų slėnis	1287.3	1	Autobusai	1	01-Ž	2-2963	1299	1297	0	0
delay	703989	A>B	Stotis–Vikingų g.–Oro uostas	1304	1307	-0.40000001	Vikingų st.	1323.7	1.8	Aguonų st.	1311.9	1	Autobusai	1	01-Ž	2-2963	1327	1327	0	1
delay	703989	B>A	Oro uostas–Vikingų g.–Stotis	1332	1334	-1.1	Aguonų st.	1348.2	1.5	Vikingų st.	1336.5	1	Autobusai	1	01-Ž	2-2963	1351	1349	0	0
delay	704003	A>B	Fabijoniškės–Baltupiai–Markučiai	358	359	0.89999998	Kaimelio žiedas	359.89999	4.3000002	Pramogų arena	376.5	10	Autobusai	10	01-Ž	2-547	396	397	1	0
delay	704003	B>A	Markučiai–Baltupiai–Fabijoniškės	402	403	-2.0999999	Antano Jonyno st.	433.70001	2.8	Arkikatedra	412.60001	10	Autobusai	10	01-Ž	2-547	437	434	0	0
delay	704003	A>B	Fabijoniškės–Baltupiai–Markučiai	450	452	1.8	Kaimelio žiedas	452.89999	4.1999998	Kalvarijų turgus	474.20001	10	Autobusai	10	01-Ž	2-547	489	491	1	0
delay	704003	B>A	Markučiai–Baltupiai–Fabijoniškės	497	497	-1	Pramogų arena	520.79999	1.6	Karaliaus Mindaugo tiltas	509.39999	10	Autobusai	10	01-Ž	2-547	536	535	0	0
delay	704003	A>B	Fabijoniškės–Baltupiai–Markučiai	573	573	0.2	Arkikatedra	603.20001	2.8	Jono Kazlausko st.	588.40002	10	Autobusai	10	01-Ž	2-547	613	613	0	0
delay	704003	B>A	Markučiai–Baltupiai–Fabijoniškės	618	619	0.40000001	Žaliasis tiltas	633.70001	2.4000001	Bernardinų sodas	628.09998	10	Autobusai	10	01-Ž	2-547	657	657	0	0
delay	704003	A>B	Fabijoniškės–Baltupiai–Markučiai	668	668	0.1	Paplaujos st.	707	1.5	Subačiaus st.	704.5	10	Autobusai	10	01-Ž	2-547	708	707	0	0
delay	704003	B>A	Markučiai–Baltupiai–Fabijoniškės	713	714	-2.2	Antano Jonyno st.	748.70001	1.6	Karaliaus Mindaugo tiltas	725.40002	10	Autobusai	10	01-Ž	2-547	752	749	0	0
delay	704003	A>B	Fabijoniškės–Baltupiai–Markučiai	765	765	0.2	Kaimelio žiedas	766.29999	3.8	Subačiaus st.	803.90002	10	Autobusai	10	01-Ž	2-547	805	807	1	0
delay	704003	B>A	Markučiai–Baltupiai–Fabijoniškės	810	812	-1.2	Žaliasis tiltas	824.20001	2.2	Baltupiai	841	10	Autobusai	10	01-Ž	2-547	849	850	0	0
delay	704003	A>B	Fabijoniškės–Baltupiai–Markučiai	859	860	0.69999999	Kaimelio žiedas	860.90002	4.9000001	Subačiaus st.	898.90002	10	Autobusai	10	01-Ž	2-547	899	902	1	0
delay	704003	B>A	Markučiai–Baltupiai–Fabijoniškės	904	904	-1	Pramogų arena	927.90002	1.3	Karaliaus Mindaugo tiltas	916.09998	10	Autobusai	10	01-Ž	2-547	943	942	0	0
delay	704003	A>B	Fabijoniškės–Baltupiai–Markučiai	951	951	-0.69999999	Liudo Giros st.	954.5	3.0999999	Subačiaus st.	989.20001	10	Autobusai	10	01-Ž	2-547	991	993	1	0
delay	704003	B>A	Markučiai–Baltupiai–Fabijoniškės	996	997	0.40000001	Subačiaus st.	1001.4	3.5999999	Liudo Giros st.	1036	10	Autobusai	10	01-Ž	2-547	1035	1038	1	0
delay	704003	A>B	Fabijoniškės–Baltupiai–Markučiai	1049	1049	0.1	Kaimelio žiedas	1050.2	6.4000001	Subačiaus st.	1090.5	10	Autobusai	10	01-Ž	2-547	1089	1094	1	1
delay	704003	B>A	Markučiai–Baltupiai–Fabijoniškės	1094	1095	-1.3	Pramogų arena	1117.6	3.4000001	Liudo Giros st.	1133.8	10	Autobusai	10	01-Ž	2-547	1133	1135	1	0
delay	704003	A>B	Fabijoniškės–Baltupiai–Markučiai	1171	1171	-0.5	Kalvarijų turgus	1191.5	1.7	Jono Kazlausko st.	1185.3	10	Autobusai	10	01-Ž	2-547	1211	1211	0	0
delay	704003	B>A	Markučiai–Baltupiai–Fabijoniškės	1216	1216	0.30000001	Markučiai	1216.4	3.4000001	Karaliaus Mindaugo tiltas	1228.2	10	Autobusai	10	01-Ž	2-547	1251	1253	1	0
delay	704003	A>B	Fabijoniškės–Baltupiai–Markučiai	1296	1296	-0.2	Karaliaus Mindaugo tiltas	1323.2	1.8	Pramogų arena	1312.5	10	Autobusai	10	01-Ž	2-547	1335	1335	0	0
delay	704003	B>A	Markučiai–Baltupiai–Fabijoniškės	1342	1342	0.1	Markučiai	1342.3	2.8	Karaliaus Mindaugo tiltas	1353.6	10	Autobusai	10	01-Ž	2-547	1377	1378	0	0
delay	704003	A>B	Fabijoniškės–Baltupiai–Markučiai	1395	1395	-0.60000002	Karaliaus Mindaugo tiltas	1421.9	1.3	Tauragnų st.	1412	10	Autobusai	10	01-Ž	2-547	1434	1433	0	0
delay	704083	A>B	Fabijoniškės–Baltupiai–Markučiai	380	379	-3	Paplaujos st.	415	0.60000002	Baltupiai	391.20001	10	Autobusai	10	02	2-10584	419	415	0	1
delay	704083	B>A	Markučiai–Baltupiai–Fabijoniškės	425	425	-0.80000001	Antano Jonyno st.	458.10001	2	Karaliaus Mindaugo tiltas	435.79999	10	Autobusai	10	02	2-10584	460	459	0	0
