mode	RunID	Tipas	Pavadinimas	planStartTime	startTime	ahead	aStop	aStopTime	behind	bStop	bStopTime	TripLine	Transport	Line	Run	GPSNum	planEndTime	endTime	irregularAllStops	irregularEndPoints
----	-----	-----	-----------	-------------	---------	-----	-----	---------	------	-----	---------	--------	---------	----	---	------	-----------	-------	-----------------	------------------
delay	690581	A>B	Stotis–Vikingų g.–Oro uostas	315	315	-1.1	Prūsų st.	325.10001	0	Vikingų slėnis	331.89999	1	Autobusai	1	01-Ž	2-2963	337	336	0	0
delay	690581	B>A	Oro uostas–Vikingų g.–Stotis	341	341	-1.8	Aguonų st.	356.60001	0.30000001	Vikingų st.	344.29999	1	Autobusai	1	01-Ž	2-2963	360	357	0	0
delay	690581	A>B	Stotis–Vikingų g.–Oro uostas	365	365	-0.89999998	Prūsų st.	377.10001	0.69999999	Vikingų st.	385.89999	1	Autobusai	1	01-Ž	2-2963	388	389	0	0
delay	690581	B>A	Oro uostas–Vikingų g.–Stotis	391	390	-0.89999998	Aguonų st.	407.39999	0.5	Prūsų st.	402.5	1	Autobusai	1	01-Ž	2-2963	410	408	0	0
delay	690581	A>B	Stotis–Vikingų g.–Oro uostas	415	415	-0.69999999	Prūsų st.	427.29999	0.40000001	Vikingų st.	435.60001	1	Autobusai	1	01-Ž	2-2963	438	438	0	0
delay	690581	B>A	Oro uostas–Vikingų g.–Stotis	443	443	-1	Aguonų st.	459.39999	0.1	Vikingų st.	446.10001	1	Autobusai	1	01-Ž	2-2963	462	460	0	0
delay	690581	A>B	Stotis–Vikingų g.–Oro uostas	476	476	-1.6	Prūsų st.	487.5	0.1	Vikingų st.	496.20001	1	Autobusai	1	01-Ž	2-2963	499	499	0	0
delay	690581	B>A	Oro uostas–Vikingų g.–Stotis	504	504	-0.40000001	Oro uostas	503.60001	2.5	Prūsų st.	516.5	1	Autobusai	1	01-Ž	2-2963	522	523	0	0
delay	690581	A>B	Stotis–Vikingų g.–Oro uostas	556	556	-1.2	Prūsų st.	566.90002	0.5	Vikingų st.	575.59998	1	Autobusai	1	01-Ž	2-2963	578	578	0	0
delay	690581	B>A	Oro uostas–Vikingų g.–Stotis	587	587	0	Oro uostas	587	3.2	Prūsų st.	600.20001	1	Autobusai	1	01-Ž	2-2963	605	606	1	0
delay	690581	A>B	Stotis–Vikingų g.–Oro uostas	627	627	-1.4	Prūsų st.	638.59998	0.30000001	Vikingų st.	647.40002	1	Autobusai	1	01-Ž	2-2963	650	650	0	0
