mode	RunID	Tipas	Pavadinimas	planStartTime	startTime	ahead	aStop	aStopTime	behind	bStop	bStopTime	TripLine	Transport	Line	Run	GPSNum	planEndTime	endTime	irregularAllStops	irregularEndPoints
----	-----	-----	-----------	-------------	---------	-----	-----	---------	------	-----	---------	--------	---------	----	---	------	-----------	-------	-----------------	------------------
delay	607646	A>B	Stotis–Vikingų g.–Oro uostas	324	323	-0.60000002	Aguonų st.	327.60001	2.8	Vikingų st.	338.29999	1	Autobusai	1	01-Ž	2-2963	339	341	0	0
delay	607646	B>A	Oro uostas–Vikingų g.–Stotis	344	345	0.2	Aguonų st.	356.20001	1	Prūsų st.	352.70001	1	Autobusai	1	01-Ž	2-2963	359	359	0	0
delay	607646	A>B	Stotis–Vikingų g.–Oro uostas	365	365	-1.2	„Sparta“	372	3.0999999	Vikingų st.	381.60001	1	Autobusai	1	01-Ž	2-2963	382	385	1	0
delay	607646	B>A	Oro uostas–Vikingų g.–Stotis	387	387	-0.80000001	Aguonų st.	400.20001	1.2	Prūsų st.	395.79999	1	Autobusai	1	01-Ž	2-2963	404	403	0	0
delay	607646	A>B	Stotis–Vikingų g.–Oro uostas	415	414	-2	Prūsų st.	424.10001	0.89999998	Vikingų st.	430.29999	1	Autobusai	1	01-Ž	2-2963	433	434	0	0
delay	607646	B>A	Oro uostas–Vikingų g.–Stotis	438	438	-0.30000001	Vikingų slėnis	441.70001	1.6	Prūsų st.	447.20001	1	Autobusai	1	01-Ž	2-2963	455	455	0	0
delay	607646	A>B	Stotis–Vikingų g.–Oro uostas	460	459	-1.9	Prūsų st.	469.10001	0.2	Vikingų st.	474.60001	1	Autobusai	1	01-Ž	2-2963	478	478	0	0
delay	607646	B>A	Oro uostas–Vikingų g.–Stotis	483	483	-0.30000001	Oro uostas	482.60001	1.5	Prūsų st.	492.20001	1	Autobusai	1	01-Ž	2-2963	498	499	0	0
delay	607646	A>B	Stotis–Vikingų g.–Oro uostas	504	502	-1.8	Prūsų st.	511.29999	2.0999999	Vikingų st.	518.5	1	Autobusai	1	01-Ž	2-2963	520	522	0	0
delay	607646	B>A	Oro uostas–Vikingų g.–Stotis	525	525	0.1	Oro uostas	525.09998	1.7	Prūsų st.	534.40002	1	Autobusai	1	01-Ž	2-2963	540	542	0	0
delay	607646	A>B	Stotis–Vikingų g.–Oro uostas	578	577	-0.5	Aguonų st.	581.79999	4.4000001	Vikingų st.	593.79999	1	Autobusai	1	01-Ž	2-2963	593	597	1	1
delay	607646	B>A	Oro uostas–Vikingų g.–Stotis	598	598	-0.2	Oro uostas	597.79999	1	„Sparta“	609	1	Autobusai	1	01-Ž	2-2963	613	614	0	0
delay	607646	A>B	Stotis–Vikingų g.–Oro uostas	622	621	-1.6	Aguonų st.	624.5	2.5999999	Vikingų st.	636	1	Autobusai	1	01-Ž	2-2963	637	639	0	0
delay	607646	B>A	Oro uostas–Vikingų g.–Stotis	642	642	-0.60000002	Oro uostas	641.5	2.0999999	Aguonų st.	656	1	Autobusai	1	01-Ž	2-2963	657	659	0	0
delay	607646	A>B	Stotis–Vikingų g.–Oro uostas	665	665	0.5	Aguonų st.	669.70001	7.1999998	Vikingų st.	683.70001	1	Autobusai	1	01-Ž	2-2963	680	687	1	1
delay	607646	B>A	Oro uostas–Vikingų g.–Stotis	685	689	3.9000001	Oro uostas	688.90002	7.8000002	Aguonų st.	704.70001	1	Autobusai	1	01-Ž	2-2963	700	708	1	1
delay	607646	A>B	Stotis–Vikingų g.–Oro uostas	706	707	0.89999998	Prūsų st.	715	5.3000002	Vikingų st.	722.79999	1	Autobusai	1	01-Ž	2-2963	721	726	1	1
