mode	RunID	Tipas	Pavadinimas	planStartTime	startTime	ahead	aStop	aStopTime	behind	bStop	bStopTime	TripLine	Transport	Line	Run	GPSNum	planEndTime	endTime	irregularAllStops	irregularEndPoints
----	-----	-----	-----------	-------------	---------	-----	-----	---------	------	-----	---------	--------	---------	----	---	------	-----------	-------	-----------------	------------------
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	315	314	-0.30000001	Prūsų st.	325.89999	0.60000002	Vikingų st.	333.89999	1	Autobusai	1	01-Ž	2-2963	337	337	0	0
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	341	341	-1.2	Aguonų st.	357.10001	0.60000002	Prūsų st.	352.60001	1	Autobusai	1	01-Ž	2-2963	360	358	0	0
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	365	366	-0.5	Prūsų st.	377.5	0.89999998	Vikingų st.	386	1	Autobusai	1	01-Ž	2-2963	388	389	0	0
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	391	391	0	Oro uostas	391.10001	3	Prūsų st.	405	1	Autobusai	1	01-Ž	2-2963	410	411	0	0
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	415	414	-1.4	Prūsų st.	426.60001	0.40000001	Vikingų st.	435.5	1	Autobusai	1	01-Ž	2-2963	438	438	0	0
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	443	443	-0.30000001	Oro uostas	442.70001	4.4000001	Aguonų st.	464.60001	1	Autobusai	1	01-Ž	2-2963	462	465	1	0
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	476	475	-1.3	Prūsų st.	487.70001	0.2	Vikingų st.	496.29999	1	Autobusai	1	01-Ž	2-2963	499	499	0	0
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	504	504	0	Oro uostas	504.10001	2	Aguonų st.	522.20001	1	Autobusai	1	01-Ž	2-2963	522	523	0	0
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	556	559	-0.89999998	Prūsų st.	567.09998	1.3	Vikingų st.	578.90002	1	Autobusai	1	01-Ž	2-2963	578	579	0	0
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	587	587	-0.5	Oro uostas	586.5	3.5	Prūsų st.	600.5	1	Autobusai	1	01-Ž	2-2963	605	607	1	0
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	627	626	-0.80000001	Aguonų st.	632.5	1.1	Vikingų st.	648.29999	1	Autobusai	1	01-Ž	2-2963	650	651	0	0
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	655	655	-0.69999999	„Sparta“	669.79999	0.69999999	Prūsų st.	666.59998	1	Autobusai	1	01-Ž	2-2963	674	672	0	0
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	679	678	-1.7	Prūsų st.	690.29999	1.3	Vikingų st.	700.40002	1	Autobusai	1	01-Ž	2-2963	702	703	0	0
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	707	708	0.60000002	Oro uostas	707.70001	4.0999999	Prūsų st.	722.09998	1	Autobusai	1	01-Ž	2-2963	726	729	1	0
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	732	731	-1.6	Prūsų st.	743.40002	-0.89999998	Vikingų st.	751.20001	1	Autobusai	1	01-Ž	2-2963	755	754	0	0
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	760	760	-0.30000001	Oro uostas	759.79999	3.3	Prūsų st.	774.29999	1	Autobusai	1	01-Ž	2-2963	779	780	1	0
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	784	783	-1.4	Aguonų st.	788.79999	1.1	Vikingų st.	805.20001	1	Autobusai	1	01-Ž	2-2963	807	808	0	0
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	812	812	-0.40000001	Vikingų st.	814.59998	0.89999998	Prūsų st.	823.90002	1	Autobusai	1	01-Ž	2-2963	831	830	0	0
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	841	844	1.2	Prūsų st.	855.20001	2.7	Vikingų st.	863.79999	1	Autobusai	1	01-Ž	2-2963	864	867	0	0
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	869	877	7.3000002	Aguonų st.	893.70001	8.8999996	Prūsų st.	888.79999	1	Autobusai	1	01-Ž	2-2963	888	894	1	1
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	906	900	-6	Stotis	901	-1.2	Naujininkai	918.79999	1	Autobusai	1	01-Ž	2-2963	929	928	1	1
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	934	940	4.6999998	Aguonų st.	955.90002	6.1999998	Prūsų st.	951.09998	1	Autobusai	1	01-Ž	2-2963	953	956	1	1
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	958	958	-1.9	Prūsų st.	969.09998	0.2	Naujininkai	972.20001	1	Autobusai	1	01-Ž	2-2963	981	980	0	0
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	986	990	3.7	Vikingų st.	992.70001	5.5	Aguonų st.	1008.8	1	Autobusai	1	01-Ž	2-2963	1005	1010	1	1
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	1011	1010	-1.2	Aguonų st.	1016	1.5	„Sparta“	1022.7	1	Autobusai	1	01-Ž	2-2963	1034	1034	0	0
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	1039	1053	12.5	Oro uostas	1051.7	18.200001	Aguonų st.	1074.4	1	Autobusai	1	01-Ž	2-2963	1058	1075	1	1
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	1096	1097	-2.8	Prūsų st.	1105.2	0.80000001	Stotis	1098.2	1	Autobusai	1	01-Ž	2-2963	1118	1116	0	0
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	1123	1128	4.1999998	Aguonų st.	1144.5	5.1999998	Prūsų st.	1139.2	1	Autobusai	1	01-Ž	2-2963	1142	1145	1	1
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	1148	1154	1.7	Prūsų st.	1162.8	3.8	Aguonų st.	1157.9	1	Autobusai	1	01-Ž	2-2963	1171	1174	1	1
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	1176	1181	1.7	„Sparta“	1193.2	4.6999998	Vikingų st.	1183.7	1	Autobusai	1	01-Ž	2-2963	1195	1196	1	1
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	1200	1205	0.30000001	Prūsų st.	1213.4	3.5999999	Aguonų st.	1209.7	1	Autobusai	1	01-Ž	2-2963	1223	1224	1	1
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	1228	1230	-2.0999999	Aguonų st.	1243.1	1.4	Vikingų st.	1232.4	1	Autobusai	1	01-Ž	2-2963	1247	1244	0	0
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	1252	1243	3.4000001	Prūsų st.	1268.4	4.5999999	Naujininkai	1270.5	1	Autobusai	1	01-Ž	2-2963	1275	1279	1	1
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	1280	1287	3.5999999	Aguonų st.	1300.8	7.4000001	Vikingų st.	1290.4	1	Autobusai	1	01-Ž	2-2963	1299	1302	1	1
delay	678092	A>B	Stotis–Vikingų g.–Oro uostas	1304	1310	0.89999998	Vikingų slėnis	1323.7	4.8000002	Aguonų st.	1314.9	1	Autobusai	1	01-Ž	2-2963	1327	1328	1	1
delay	678092	B>A	Oro uostas–Vikingų g.–Stotis	1332	1335	-0.30000001	Aguonų st.	1348.9	2.3	Vikingų st.	1337.3	1	Autobusai	1	01-Ž	2-2963	1351	1350	0	0
delay	678172	A>B	Fabijoniškės–Baltupiai–Markučiai	325	325	-0.30000001	Didlaukio st.	334.89999	2.7	Užupio st.	358.89999	10	Autobusai	10	01-Ž	2-2529	362	363	0	0
delay	678172	B>A	Markučiai–Baltupiai–Fabijoniškės	367	367	-1.6	Antano Jonyno st.	406.29999	1.6	Tauragnų st.	390.29999	10	Autobusai	10	01-Ž	2-2529	409	407	0	0
delay	678172	A>B	Fabijoniškės–Baltupiai–Markučiai	418	419	0.30000001	Kaimelio žiedas	419.29999	6.5999999	Žalgirio st.	447.89999	10	Autobusai	10	01-Ž	2-2529	468	472	1	1
delay	678172	B>A	Markučiai–Baltupiai–Fabijoniškės	474	475	1.5	Markučiai	475.60001	7.4000001	Kalvarijų turgus	502	10	Autobusai	10	01-Ž	2-2529	520	524	1	1
delay	678172	A>B	Fabijoniškės–Baltupiai–Markučiai	529	529	-1.5	Didlaukio st.	540.70001	6.8000002	Užupio st.	575.79999	10	Autobusai	10	01-Ž	2-2529	577	582	1	1
delay	678172	B>A	Markučiai–Baltupiai–Fabijoniškės	582	584	1.7	Žaliasis tiltas	601.09998	3.5999999	Ateities st.	622.90002	10	Autobusai	10	01-Ž	2-2529	626	627	1	0
delay	678172	A>B	Fabijoniškės–Baltupiai–Markučiai	663	663	0.2	Kaimelio žiedas	664.29999	3	Užupio st.	704.59998	10	Autobusai	10	01-Ž	2-2529	709	711	0	0
delay	678172	B>A	Markučiai–Baltupiai–Fabijoniškės	715	717	1.6	Markučiai	716.70001	4.9000001	Baltupiai	751.70001	10	Autobusai	10	01-Ž	2-2529	759	761	1	0
delay	678172	A>B	Fabijoniškės–Baltupiai–Markučiai	771	772	0.30000001	Didlaukio st.	784.59998	2.9000001	Užupio st.	812.5	10	Autobusai	10	01-Ž	2-2529	817	818	0	0
delay	678172	B>A	Markučiai–Baltupiai–Fabijoniškės	826	826	0	Markučiai	826.09998	2.2	Didlaukio st.	861.59998	10	Autobusai	10	01-Ž	2-2529	870	870	0	0
delay	678172	A>B	Fabijoniškės–Baltupiai–Markučiai	880	881	-0.60000002	Didlaukio st.	892.70001	4.5999999	Užupio st.	925.20001	10	Autobusai	10	01-Ž	2-2529	928	931	1	0
delay	678172	B>A	Markučiai–Baltupiai–Fabijoniškės	935	936	1	Markučiai	936.09998	8.1000004	Mykolo Romerio universitetas	983.59998	10	Autobusai	10	01-Ž	2-2529	980	987	1	1
delay	678172	A>B	Fabijoniškės–Baltupiai–Markučiai	996	997	0.30000001	Naujakiemio st.	1012.5	10.7	Užupio st.	1047.4	10	Autobusai	10	01-Ž	2-2529	1044	1053	1	1
delay	678172	B>A	Markučiai–Baltupiai–Fabijoniškės	1049	1055	6.4000001	Markučiai	1055.4	16.4	Liudo Giros st.	1112.9	10	Autobusai	10	01-Ž	2-2529	1099	1115	1	1
delay	678172	A>B	Fabijoniškės–Baltupiai–Markučiai	1129	1130	0.69999999	Kaimelio žiedas	1130.7	6	Užupio st.	1172.7	10	Autobusai	10	01-Ž	2-2529	1174	1178	1	1
delay	678172	B>A	Markučiai–Baltupiai–Fabijoniškės	1179	1180	-1.7	Žaliasis tiltas	1196.7	1.8	Užupio st.	1186.1	10	Autobusai	10	01-Ž	2-2529	1221	1221	0	0
delay	678172	A>B	Fabijoniškės–Baltupiai–Markučiai	1233	1233	0.1	Didlaukio st.	1243.4	5.4000001	Užupio st.	1272	10	Autobusai	10	01-Ž	2-2529	1274	1278	1	1
delay	678172	B>A	Markučiai–Baltupiai–Fabijoniškės	1281	1283	1	Bernardinų sodas	1291	3.7	Baltupiai	1312.4	10	Autobusai	10	01-Ž	2-2529	1320	1321	1	0
