mode	RunID	Tipas	Pavadinimas	planStartTime	startTime	ahead	aStop	aStopTime	behind	bStop	bStopTime	TripLine	Transport	Line	Run	GPSNum	planEndTime	endTime	irregularAllStops	irregularEndPoints
----	-----	-----	-----------	-------------	---------	-----	-----	---------	------	-----	---------	--------	---------	----	---	------	-----------	-------	-----------------	------------------
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	315	315	-0.2	Prūsų st.	326	0.30000001	Vikingų st.	336.10001	1	Autobusai	1	01-Ž	2-2963	337	336	0	0
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	341	341	-2	Aguonų st.	356.29999	-0.2	Vikingų st.	343.79999	1	Autobusai	1	01-Ž	2-2963	360	357	0	0
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	365	366	-1	Prūsų st.	377	0.1	Vikingų st.	385.29999	1	Autobusai	1	01-Ž	2-2963	388	388	0	0
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	391	391	-2.0999999	„Sparta“	404.29999	-0.1	Vikingų st.	393.89999	1	Autobusai	1	01-Ž	2-2963	410	407	0	0
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	415	414	-1.5	Prūsų st.	426.5	-0.1	Vikingų st.	435	1	Autobusai	1	01-Ž	2-2963	438	438	0	0
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	443	443	-0.1	Oro uostas	442.89999	1.5	Prūsų st.	455.39999	1	Autobusai	1	01-Ž	2-2963	462	461	0	0
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	476	476	-1.6	Prūsų st.	487.39999	-0.2	Vikingų st.	495.89999	1	Autobusai	1	01-Ž	2-2963	499	499	0	0
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	504	504	-0.5	Oro uostas	503.60001	2.8	Prūsų st.	516.79999	1	Autobusai	1	01-Ž	2-2963	522	524	0	0
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	556	556	-0.69999999	Prūsų st.	567.40002	0.69999999	Vikingų st.	575.90002	1	Autobusai	1	01-Ž	2-2963	578	579	0	0
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	587	588	0.2	Oro uostas	587.29999	2.9000001	Prūsų st.	599.90002	1	Autobusai	1	01-Ž	2-2963	605	606	0	0
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	627	626	-0.69999999	Aguonų st.	632.59998	1.3	Vikingų st.	648.5	1	Autobusai	1	01-Ž	2-2963	650	651	0	0
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	655	655	-1.5	„Sparta“	669	1.4	Vikingų slėnis	661.40002	1	Autobusai	1	01-Ž	2-2963	674	672	0	0
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	679	679	-1	Prūsų st.	691	-0.2	Naujininkai	692.79999	1	Autobusai	1	01-Ž	2-2963	702	701	0	0
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	707	707	-1.1	„Sparta“	721.29999	0.1	Vikingų st.	710.09998	1	Autobusai	1	01-Ž	2-2963	726	724	0	0
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	732	732	-1.7	Prūsų st.	743.40002	-0.89999998	Vikingų st.	751.20001	1	Autobusai	1	01-Ž	2-2963	755	754	0	0
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	760	760	-0.2	Oro uostas	759.90002	2	Prūsų st.	773	1	Autobusai	1	01-Ž	2-2963	779	779	0	0
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	784	784	-1.6	Prūsų st.	795.5	-0.40000001	Vikingų st.	803.79999	1	Autobusai	1	01-Ž	2-2963	807	807	0	0
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	812	811	-1.1	Aguonų st.	828.20001	0.30000001	Prūsų st.	823.29999	1	Autobusai	1	01-Ž	2-2963	831	829	0	0
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	841	840	-1.4	Aguonų st.	845.79999	2.7	Vikingų st.	863.79999	1	Autobusai	1	01-Ž	2-2963	864	867	0	0
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	869	869	-1.6	„Sparta“	882.79999	0.30000001	Prūsų st.	880.29999	1	Autobusai	1	01-Ž	2-2963	888	886	0	0
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	906	905	-0.2	Stotis	907	1	„Sparta“	917.20001	1	Autobusai	1	01-Ž	2-2963	929	929	0	0
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	934	936	1	„Sparta“	950.5	2.9000001	Prūsų st.	947.79999	1	Autobusai	1	01-Ž	2-2963	953	954	0	0
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	958	962	3.3	Aguonų st.	967.40002	7.5999999	Vikingų st.	985.70001	1	Autobusai	1	01-Ž	2-2963	981	988	1	1
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	986	989	2.9000001	Oro uostas	989.09998	5	Prūsų st.	1001.9	1	Autobusai	1	01-Ž	2-2963	1005	1009	1	1
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	1011	1011	-3.3	Prūsų st.	1020.8	-0.60000002	Stotis	1011.4	1	Autobusai	1	01-Ž	2-2963	1034	1032	1	0
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	1039	1040	1.3	Vikingų st.	1043.4	3.4000001	Vikingų slėnis	1047.4	1	Autobusai	1	01-Ž	2-2963	1058	1059	1	0
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	1096	1098	1.2	Prūsų st.	1109.2	3.5	Vikingų st.	1118.6	1	Autobusai	1	01-Ž	2-2963	1118	1122	1	1
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	1123	1124	0.89999998	Oro uostas	1124.1	3.7	Aguonų st.	1143.9	1	Autobusai	1	01-Ž	2-2963	1142	1145	1	0
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	1148	1150	-2.2	Vikingų slėnis	1165.7	1.8	Stotis	1150.8	1	Autobusai	1	01-Ž	2-2963	1171	1169	0	0
delay	685530	B>A	Oro uostas–Vikingų g.–Stotis	1176	1177	1	Oro uostas	1177.1	2.8	Vikingų slėnis	1183.9	1	Autobusai	1	01-Ž	2-2963	1195	1196	0	0
delay	685530	A>B	Stotis–Vikingų g.–Oro uostas	1200	1202	-0.30000001	Prūsų st.	1212.7	2.5999999	Stotis	1203.6	1	Autobusai	1	01-Ž	2-2963	1223	1223	0	0
