RunID	GPSNum	GarNum	Tipas	Pavadinimas	planTripStartTime	tripStartTime	ahead	aheadStop	aheadStopTime	behind	behindStop	behindStopTime	ReisoMarsrutas	Transportas	Marsrutas	Pavadinimas
-----	------	------	-----	-----------	-----------------	-------------	-----	---------	-------------	------	----------	--------------	--------------	-----------	---------	-----------
605804	2-494	726	A>B	Stotis–Vikingų g.–Oro uostas	622	620	-1.7	Aguonų st.	624.59998	5.0999999	Vikingų st.	638.5	1	Autobusai	1	01-Ž
605804	2-494	726	B>A	Oro uostas–Vikingų g.–Stotis	685	686	0.2	Oro uostas	685.20001	3.7	Prūsų st.	696.40002	1	Autobusai	1	01-Ž
605804	2-494	726	A>B	Stotis–Vikingų g.–Oro uostas	748	746	-2.3	Aguonų st.	750	5	Vikingų st.	764.5	1	Autobusai	1	01-Ž
605804	2-494	726	B>A	Oro uostas–Vikingų g.–Stotis	767	770	1.9	Oro uostas	769	7	Aguonų st.	785.90002	1	Autobusai	1	01-Ž
605804	2-494	726	A>B	Stotis–Vikingų g.–Oro uostas	830	831	0.80000001	Prūsų st.	838.79999	4.5	Vikingų st.	845.90002	1	Autobusai	1	01-Ž
605804	2-494	726	A>B	Stotis–Vikingų g.–Oro uostas	878	878	-1.3	Prūsų st.	886.70001	3.7	Vikingų st.	895.29999	1	Autobusai	1	01-Ž
605804	2-494	726	B>A	Oro uostas–Vikingų g.–Stotis	899	900	0.60000002	Oro uostas	899.59998	4.3000002	Prūsų st.	910.90002	1	Autobusai	1	01-Ž
605804	2-494	726	A>B	Stotis–Vikingų g.–Oro uostas	922	922	-1.1	Prūsų st.	930.90002	4	Vikingų st.	939.40002	1	Autobusai	1	01-Ž
605804	2-494	726	A>B	Stotis–Vikingų g.–Oro uostas	969	969	0.89999998	Aguonų st.	974	8	Vikingų st.	991.40002	1	Autobusai	1	01-Ž
605804	2-494	726	B>A	Oro uostas–Vikingų g.–Stotis	991	995	3.7	„Sparta“	1006.8	5.4000001	Prūsų st.	1004	1	Autobusai	1	01-Ž
605804	2-494	726	A>B	Stotis–Vikingų g.–Oro uostas	1015	1015	0.80000001	Prūsų st.	1026.8	5.1999998	Vikingų st.	1034.6	1	Autobusai	1	01-Ž
605804	2-494	726	B>A	Oro uostas–Vikingų g.–Stotis	1037	1039	2.2	Oro uostas	1039.3	6.1999998	Prūsų st.	1050.8	1	Autobusai	1	01-Ž
605804	2-494	726	B>A	Oro uostas–Vikingų g.–Stotis	1155	1156	0.5	Oro uostas	1155.6	3.0999999	Prūsų st.	1165.7	1	Autobusai	1	01-Ž
605804	2-494	726	A>B	Stotis–Vikingų g.–Oro uostas	1220	1220	0.1	Aguonų st.	1224.3	5.1999998	Vikingų st.	1236.6	1	Autobusai	1	01-Ž
605804	2-494	726	B>A	Oro uostas–Vikingų g.–Stotis	1282	1283	0.40000001	Oro uostas	1282.5	3.0999999	Prūsų st.	1292.8	1	Autobusai	1	01-Ž
605804	2-494	726	A>B	Stotis–Vikingų g.–Oro uostas	1308	1308	0	Aguonų st.	1312.3	5.0999999	Vikingų st.	1324.6	1	Autobusai	1	01-Ž
605804	2-494	726	B>A	Oro uostas–Vikingų g.–Stotis	1374	1375	1.2	Oro uostas	1375.3	3.2	Naujininkai	1383.9	1	Autobusai	1	01-Ž
605605	2-1951	794	B>A	Markučiai–Baltupiai–Fabijoniškės	476	476	-2.0999999	Antano Jonyno st.	518.90002	3.5999999	Bernardinų sodas	489.20001	10	Autobusai	10	01-Ž
605605	2-1951	794	B>A	Markučiai–Baltupiai–Fabijoniškės	1049	1052	-1.7	Kalvarijų turgus	1071	3.2	Užupio st.	1057.5	10	Autobusai	10	01-Ž
605736	2-2547	653	A>B	Fabijoniškės–Baltupiai–Markučiai	431	432	-4.5	Žaliasis tiltas	458.39999	1.3	Antano Jonyno st.	434.79999	10	Autobusai	10	02
605736	2-2547	653	B>A	Markučiai–Baltupiai–Fabijoniškės	595	597	-3.8	Antano Jonyno st.	634.09998	1.6	Paplaujos st.	597.20001	10	Autobusai	10	02
605736	2-2547	653	A>B	Fabijoniškės–Baltupiai–Markučiai	916	916	-4.3000002	Karaliaus Mindaugo tiltas	947.90002	-0.30000001	Kaimelio st.	917.40002	10	Autobusai	10	02
605736	2-2547	653	A>B	Fabijoniškės–Baltupiai–Markučiai	1027	1028	0.2	Karaliaus Mindaugo tiltas	1064	5.1999998	Žalgirio st.	1055.5	10	Autobusai	10	02
605730	2-2026	722	A>B	Fabijoniškės–Baltupiai–Markučiai	445	445	-4.6999998	Karaliaus Mindaugo tiltas	479.89999	0.89999998	Antano Jonyno st.	448.39999	10	Autobusai	10	03
605730	2-2026	722	B>A	Markučiai–Baltupiai–Fabijoniškės	501	501	-4.3000002	Antano Jonyno st.	541.59998	0.69999999	Užupio st.	507	10	Autobusai	10	03
605730	2-2026	722	B>A	Markučiai–Baltupiai–Fabijoniškės	955	956	-6.5	Antano Jonyno st.	996.40002	2	Užupio st.	962.29999	10	Autobusai	10	03
605730	2-2026	722	B>A	Markučiai–Baltupiai–Fabijoniškės	1065	1065	-3.5999999	Žaliasis tiltas	1080.7	1.3	Užupio st.	1071.6	10	Autobusai	10	03
605868	2-10488	850	A>B	Fabijoniškės–Baltupiai–Markučiai	388	389	0.5	Didlaukio st.	399.79999	4	Užupio st.	427.60001	10	Autobusai	10	04
605868	2-10488	850	B>A	Markučiai–Baltupiai–Fabijoniškės	545	548	-1.8	Antano Jonyno st.	586	3.9000001	Užupio st.	554.20001	10	Autobusai	10	04
605868	2-10488	850	A>B	Fabijoniškės–Baltupiai–Markučiai	1052	1054	-0.60000002	Karaliaus Mindaugo tiltas	1088.1	3.4000001	Žalgirio st.	1078.7	10	Autobusai	10	04
605532	2-354	795	A>B	Fabijoniškės–Baltupiai–Markučiai	815	815	-1.9	Didlaukio st.	826.40002	5.8000002	Užupio st.	859.40002	10	Autobusai	10	05
605532	2-354	795	B>A	Markučiai–Baltupiai–Fabijoniškės	1092	1093	-4.5	Antano Jonyno st.	1134.3	1.3	Paplaujos st.	1094	10	Autobusai	10	05
605867	2-10598	803	B>A	Markučiai–Baltupiai–Fabijoniškės	406	407	-3.7	Antano Jonyno st.	446.20001	1.1	Paplaujos st.	407.79999	10	Autobusai	10	06
605867	2-10598	803	A>B	Fabijoniškės–Baltupiai–Markučiai	457	457	-3.2	Karaliaus Mindaugo tiltas	493.39999	1	Mykolo Romerio universitetas	464.10001	10	Autobusai	10	06
