RunID	GPSNum	GarNum	Tipas	Pavadinimas	planTripStartTime	tripStartTime	ahead	aheadStop	aheadStopTime	behind	behindStop	behindStopTime	ReisoMarsrutas	Transportas	Marsrutas	Pavadinimas
-----	------	------	-----	-----------	-----------------	-------------	-----	---------	-------------	------	----------	--------------	--------------	-----------	---------	-----------
772037	3-1569	2623	A>B	Karoliniškės–Žvėrynas–Stotis	392	396.16	4.0999999	Atminties st.	397.70001	5.6999998	Liubarto tiltas	414.70001	1	Troleibusai	1	01
772037	3-1569	2623	B>A	Stotis–Žvėrynas–Karoliniškės	426	432.10001	5	Islandijos st.	441.29999	9.6999998	Teodoro Narbuto st.	457.89999	1	Troleibusai	1	01
772037	3-1569	2623	A>B	Karoliniškės–Žvėrynas–Stotis	468	478.82001	9.6999998	Pamėnkalnio st.	501.89999	11.2	Trakų st.	507.39999	1	Troleibusai	1	01
772126	3-2359	2687	A>B	Karoliniškės–Žvėrynas–Stotis	432	412.20999	-21.6	Žvėrynas	424.5	-20.1	Atminties st.	413.39999	1	Troleibusai	1	02Ž
772126	3-2359	2687	B>A	Stotis–Žvėrynas–Karoliniškės	469	449.79999	-19.9	Karoliniškių poliklinika	478.29999	-18	Pamėnkalnio st.	462.79999	1	Troleibusai	1	02Ž
772126	3-2359	2687	A>B	Karoliniškės–Žvėrynas–Stotis	516	497.23001	-19.700001	Pamėnkalnio st.	519.29999	-18.6	Liubarto tiltas	515.5	1	Troleibusai	1	02Ž
772040	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	409	411.38	1.5	Islandijos st.	420.89999	3.5	Latvių st.	429	1	Troleibusai	1	03
772085	3-2000	2560	A>B	Karoliniškės–Žvėrynas–Stotis	403	358.39001	-44.5	Atminties st.	360.10001	-42.299999	Liubarto tiltas	377.70001	1	Troleibusai	1	04
772085	3-2000	2560	B>A	Stotis–Žvėrynas–Karoliniškės	437	393.60999	-45.299999	Islandijos st.	402.10001	-44.299999	Reformatų st.	400.10001	1	Troleibusai	1	04
772085	3-2000	2560	A>B	Karoliniškės–Žvėrynas–Stotis	403	446.47	43.200001	Ugniagesių st.	449.20001	44.599998	Trakų st.	473.20001	1	Troleibusai	1	04
772085	3-2000	2560	B>A	Stotis–Žvėrynas–Karoliniškės	437	483.42001	46.299999	Stotis	483.39999	47.700001	Sietyno st.	509.89999	1	Troleibusai	1	04
772066	3-2466	2667	A>B	Karoliniškės–Žvėrynas–Stotis	341	345.54999	3.9000001	Laisvės prospektas	352.60001	5.0999999	Vingriai	373.39999	1	Troleibusai	1	05
772066	3-2466	2667	B>A	Stotis–Žvėrynas–Karoliniškės	374	379.20999	4.6999998	Trakų st.	384.89999	6.4000001	Latvių st.	396.89999	1	Troleibusai	1	05
772066	3-2466	2667	A>B	Karoliniškės–Žvėrynas–Stotis	418	428.53	10.9	Pasakų parkas	429.29999	13.2	Vingriai	460.60001	1	Troleibusai	1	05
772066	3-2466	2667	B>A	Stotis–Žvėrynas–Karoliniškės	455	468.60999	13	Atminties st.	499.89999	15.1	Pamėnkalnio st.	481.79999	1	Troleibusai	1	05
772044	3-2037	1627	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	320	324.88	-1.2	Prūsų st.	363.29999	4.9000001	Senoji plytinė	326	10	Troleibusai	10	01
772044	3-2037	1627	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	420	426.39999	6.1999998	Vilniaus universitetas	429.20001	11.7	„Sparta“	478.39999	10	Troleibusai	10	01
772044	3-2037	1627	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	478	485.07999	5.8000002	Žaliasis tiltas	502.29999	8.3000002	Lizdeikos st.	521.79999	10	Troleibusai	10	01
772155	3-2733	1592	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	429	450.39999	21.1	Saulėtekis	454.89999	25.700001	Žalgirio st.	480.79999	10	Troleibusai	10	02
772121	3-1743	1586	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	453	400.20999	-57.200001	Juozo Tumo-Vaižganto st.	437.5	-52.299999	Antakalnio žiedas	408.79999	10	Troleibusai	10	04
772121	3-1743	1586	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	513	455.78	-56.700001	Mikalojaus Konstantino Čiurlionio st.	464.10001	-53.599998	Lizdeikos st.	494.89999	10	Troleibusai	10	04
772016	3-2732	1535	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	371	384.79999	12	Giedraičių st.	405.60001	15.5	Operos ir baleto teatras	417.10001	10	Troleibusai	10	05
772016	3-2732	1535	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	422	437.26001	14	Broniaus Laurinavičiaus skveras	460.29999	15.6	Lizdeikos st.	473.10001	10	Troleibusai	10	05
772081	3-3076	1642	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	355	351.67001	-3.5999999	Pramogų arena	370.20001	-2.5	Juozo Tumo-Vaižganto st.	387.10001	10	Troleibusai	10	06
772081	3-3076	1642	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	407	404.79999	-4.3000002	Gedimino technikos universitetas	446.20001	-1.2	„Sparta“	409.60001	10	Troleibusai	10	06
772100	3-2532	1652	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	390	367.82999	-22.6	Kalvarijų turgus	393.39999	-19.799999	„Sparta“	412.89999	10	Troleibusai	10	07
772100	3-2532	1652	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	443	422.82999	-21.700001	Broniaus Laurinavičiaus skveras	445.60001	-17.299999	Lizdeikos st.	461.20001	10	Troleibusai	10	07
772100	3-2532	1652	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	526	481.48001	-44.700001	Lizdeikos st.	491.39999	-42.900002	Kražių st.	518.70001	10	Troleibusai	10	07
772069	3-1283	1653	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	399	410.89001	10.1	Pramogų arena	427.79999	13.5	„Sparta“	457.20001	10	Troleibusai	10	08
