RunID	GPSNum	GarNum	Tipas	Pavadinimas	planTripStartTime	tripStartTime	ahead	aheadStop	aheadStopTime	behind	behindStop	behindStopTime	ReisoMarsrutas	Transportas	Marsrutas	Pavadinimas
-----	------	------	-----	-----------	-----------------	-------------	-----	---------	-------------	------	----------	--------------	--------------	-----------	---------	-----------
670368	2-2963	720	B>A	Oro uostas–Vikingų g.–Stotis	587	586.83002	-0.2	Oro uostas	586.79999	3.2	Prūsų st.	600.09998	1	Autobusai	1	01-Ž
670368	2-2963	720	B>A	Oro uostas–Vikingų g.–Stotis	707	709.33002	1.4	Oro uostas	708.40002	3.7	Prūsų st.	721.70001	1	Autobusai	1	01-Ž
670368	2-2963	720	B>A	Oro uostas–Vikingų g.–Stotis	869	871.65002	1.7	Oro uostas	870.79999	4.3000002	Prūsų st.	884.29999	1	Autobusai	1	01-Ž
670368	2-2963	720	B>A	Oro uostas–Vikingų g.–Stotis	934	934.35999	0.2	Oro uostas	934.40002	3.7	Prūsų st.	948.59998	1	Autobusai	1	01-Ž
670368	2-2963	720	A>B	Stotis–Vikingų g.–Oro uostas	958	957.67999	0.30000001	Stotis	959.40002	3.8	Vikingų st.	982	1	Autobusai	1	01-Ž
670368	2-2963	720	B>A	Oro uostas–Vikingų g.–Stotis	986	990.16998	4	Oro uostas	990	7.8000002	Prūsų st.	1004.8	1	Autobusai	1	01-Ž
670368	2-2963	720	A>B	Stotis–Vikingų g.–Oro uostas	1011	1013.58	3.4000001	Aguonų st.	1020.6	6.8000002	Vikingų st.	1037.9	1	Autobusai	1	01-Ž
670368	2-2963	720	B>A	Oro uostas–Vikingų g.–Stotis	1039	1045.62	6.1999998	Oro uostas	1045.3	15.1	Aguonų st.	1071.3	1	Autobusai	1	01-Ž
670368	2-2963	720	B>A	Oro uostas–Vikingų g.–Stotis	1123	1124.59	1.3	Aguonų st.	1141.5	3.7	Vikingų slėnis	1131.8	1	Autobusai	1	01-Ž
670325	2-1361	970	A>B	Fabijoniškės–Baltupiai–Markučiai	325	324.5	-0.80000001	Kaimelio žiedas	325.20001	3.4000001	Žalgirio st.	346.60001	10	Autobusai	10	01-Ž
670325	2-1361	970	B>A	Markučiai–Baltupiai–Fabijoniškės	367	368.26001	-0.2	Antano Jonyno st.	407.60001	3.4000001	Tauragnų st.	392.20001	10	Autobusai	10	01-Ž
670325	2-1361	970	A>B	Fabijoniškės–Baltupiai–Markučiai	418	417.51999	-0.5	Kaimelio žiedas	418.5	3.7	Žalgirio st.	445.10001	10	Autobusai	10	01-Ž
670325	2-1361	970	B>A	Markučiai–Baltupiai–Fabijoniškės	474	474.73999	0.89999998	Markučiai	474.89999	11.2	Kalvarijų turgus	505.79999	10	Autobusai	10	01-Ž
670325	2-1361	970	A>B	Fabijoniškės–Baltupiai–Markučiai	529	529.76001	0.60000002	Kaimelio žiedas	530.79999	14.7	Užupio st.	583.79999	10	Autobusai	10	01-Ž
670325	2-1361	970	B>A	Markučiai–Baltupiai–Fabijoniškės	582	591.76001	8.6000004	Karaliaus Mindaugo tiltas	603.5	13.3	Tauragnų st.	620	10	Autobusai	10	01-Ž
670325	2-1361	970	A>B	Fabijoniškės–Baltupiai–Markučiai	771	770.51001	-1.8	Didlaukio st.	782.5	4.4000001	Užupio st.	814	10	Autobusai	10	01-Ž
670325	2-1361	970	B>A	Markučiai–Baltupiai–Fabijoniškės	826	825.83002	-0.60000002	Bernardinų sodas	834.29999	4.4000001	Didlaukio st.	863.79999	10	Autobusai	10	01-Ž
670325	2-1361	970	A>B	Fabijoniškės–Baltupiai–Markučiai	880	882.92999	1.7	Didlaukio st.	894.90002	5.3000002	Užupio st.	925.90002	10	Autobusai	10	01-Ž
670325	2-1361	970	B>A	Markučiai–Baltupiai–Fabijoniškės	935	935.28003	0.40000001	Broniaus Laurinavičiaus skveras	958	4.8000002	Mykolo Romerio universitetas	980.40002	10	Autobusai	10	01-Ž
670325	2-1361	970	A>B	Fabijoniškės–Baltupiai–Markučiai	996	996.97998	1	Kaimelio žiedas	998	20	Subačiaus st.	1059.6	10	Autobusai	10	01-Ž
670325	2-1361	970	B>A	Markučiai–Baltupiai–Fabijoniškės	1049	1064.45	12.4	Žaliasis tiltas	1080.8	17.6	Mykolo Romerio universitetas	1112.2	10	Autobusai	10	01-Ž
670325	2-1361	970	A>B	Fabijoniškės–Baltupiai–Markučiai	1129	1130.6899	1.5	Kaimelio žiedas	1131.5	15.5	Dailės akademija	1181	10	Autobusai	10	01-Ž
670325	2-1361	970	B>A	Markučiai–Baltupiai–Fabijoniškės	1179	1187.89	9	Markučiai	1188	12.4	Tauragnų st.	1216.1	10	Autobusai	10	01-Ž
670325	2-1361	970	A>B	Fabijoniškės–Baltupiai–Markučiai	1233	1234.86	1.2	Liudo Giros st.	1238.4	8.1000004	Užupio st.	1274.8	10	Autobusai	10	01-Ž
670660	2-2858	652	A>B	Fabijoniškės–Baltupiai–Markučiai	426	426.41	0.2	Kaimelio žiedas	427.39999	5.1999998	Žalgirio st.	454.5	10	Autobusai	10	02
