RunID	GPSNum	GarNum	Tipas	Pavadinimas	planTripStartTime	tripStartTime	ahead	aheadStop	aheadStopTime	behind	behindStop	behindStopTime	ReisoMarsrutas	Transportas	Marsrutas	Pavadinimas
-----	------	------	-----	-----------	-----------------	-------------	-----	---------	-------------	------	----------	--------------	--------------	-----------	---------	-----------
758470	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	425	429.34	2.9000001	Pamėnkalnio st.	439.39999	4.4000001	Teodoro Narbuto st.	448.60001	1	Troleibusai	1	01
758470	3-263	2665	A>B	Karoliniškės–Žvėrynas–Stotis	463	466.79001	3.7	Atminties st.	468.20001	4.5999999	Trakų st.	491.89999	1	Troleibusai	1	01
758470	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	494	500.42999	5.1999998	Liubarto tiltas	512.5	6.6999998	Teodoro Narbuto st.	519.90002	1	Troleibusai	1	01
758470	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	602	603.67999	1.5	Stotis	603.59998	3.0999999	Atminties st.	632.5	1	Troleibusai	1	01
758470	3-263	2665	A>B	Karoliniškės–Žvėrynas–Stotis	639	643.89001	3.3	Trakų st.	668.20001	4.9000001	Karoliniškių poliklinika	648.09998	1	Troleibusai	1	01
758470	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	672	676.67999	4.1999998	Stotis	676.40002	6	Teodoro Narbuto st.	697.20001	1	Troleibusai	1	01
758470	3-263	2665	A>B	Karoliniškės–Žvėrynas–Stotis	714	718.62	3.5	Trakų st.	743.40002	4.5	Pasakų parkas	718.79999	1	Troleibusai	1	01
758470	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	747	751.52002	4.4000001	Stotis	751.5	6.3000002	Teodoro Narbuto st.	772.5	1	Troleibusai	1	01
758470	3-263	2665	A>B	Karoliniškės–Žvėrynas–Stotis	795	802.02002	5.5	Centro poliklinika	824.40002	6.6999998	Pasakų parkas	802	1	Troleibusai	1	01
758470	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	828	834.38	6.4000001	Stotis	834.5	7.9000001	Laisvės prospektas	858.59998	1	Troleibusai	1	01
758470	3-263	2665	A>B	Karoliniškės–Žvėrynas–Stotis	872	878.09003	3.9000001	Vingriai	903.09998	6.0999999	Atminties st.	879.59998	1	Troleibusai	1	01
758470	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	905	910.83002	5.5	Karoliniškių poliklinika	935.29999	6.4000001	Reformatų st.	917.29999	1	Troleibusai	1	01
758470	3-263	2665	A>B	Karoliniškės–Žvėrynas–Stotis	943	957.62	11.4	Centro poliklinika	978.20001	14.9	Pasakų parkas	958.09998	1	Troleibusai	1	01
758470	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	976	988.88	11.9	Atminties st.	1015.4	13.3	Teodoro Narbuto st.	1008.5	1	Troleibusai	1	01
758470	3-263	2665	A>B	Karoliniškės–Žvėrynas–Stotis	1013	1029.26	12.7	Trakų st.	1051.6	16.299999	Pasakų parkas	1029.6	1	Troleibusai	1	01
