RunID	GPSNum	GarNum	Tipas	Pavadinimas	planTripStartTime	tripStartTime	ahead	aheadStop	aheadStopTime	behind	behindStop	behindStopTime	ReisoMarsrutas	Transportas	Marsrutas	Pavadinimas
-----	------	------	-----	-----------	-----------------	-------------	-----	---------	-------------	------	----------	--------------	--------------	-----------	---------	-----------
779113	3-2466	2667	B>A	Stotis–Žvėrynas–Karoliniškės	425	426.92999	1.7	Stotis	426.79999	4	Teodoro Narbuto st.	448.20001	1	Troleibusai	1	01
779113	3-2466	2667	A>B	Karoliniškės–Žvėrynas–Stotis	463	466.94	4.0999999	Atminties st.	468.79999	7.5	Liubarto tiltas	486.5	1	Troleibusai	1	01
779113	3-2466	2667	B>A	Stotis–Žvėrynas–Karoliniškės	494	499.75	5	Liubarto tiltas	512.29999	6.5	Trakų st.	505.20001	1	Troleibusai	1	01
779113	3-2466	2667	B>A	Stotis–Žvėrynas–Karoliniškės	602	603.57001	1.4	Stotis	603.5	3.8	Sėlių st.	621.79999	1	Troleibusai	1	01
779126	3-10605	2713	A>B	Karoliniškės–Žvėrynas–Stotis	555	560.65997	4.4000001	Centro poliklinika	583.20001	5.9000001	Liubarto tiltas	578.29999	1	Troleibusai	1	02Ž
779126	3-10605	2713	B>A	Stotis–Žvėrynas–Karoliniškės	588	593.51001	4.5999999	Liubarto tiltas	606	6.1999998	Reformatų st.	600.09998	1	Troleibusai	1	02Ž
779069	3-263	2665	A>B	Karoliniškės–Žvėrynas–Stotis	359	362.04001	3	Karoliniškių poliklinika	366.29999	4.3000002	Liubarto tiltas	379.29999	1	Troleibusai	1	03
779069	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	390	393.89001	2.7	Pamėnkalnio st.	404.10001	4.4000001	Teodoro Narbuto st.	413.60001	1	Troleibusai	1	03
779069	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	466	467.70001	1.3	Stotis	467.5	4.6999998	Teodoro Narbuto st.	489.89999	1	Troleibusai	1	03
779069	3-263	2665	A>B	Karoliniškės–Žvėrynas–Stotis	507	509.51999	1.9	Pamėnkalnio st.	529.59998	3.0999999	Žvėrynas	522.59998	1	Troleibusai	1	03
779069	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	540	542.21002	2	Stotis	542.20001	4.3000002	Sietyno st.	565.59998	1	Troleibusai	1	03
779151	3-1569	2623	A>B	Karoliniškės–Žvėrynas–Stotis	527	529.57001	2.7	Ugniagesių st.	532.59998	4.8000002	Liubarto tiltas	549.29999	1	Troleibusai	1	04
779151	3-1569	2623	B>A	Stotis–Žvėrynas–Karoliniškės	560	565.19	4.8000002	Stotis	564.90002	8.6999998	Atminties st.	596.09998	1	Troleibusai	1	04
779151	3-1569	2623	A>B	Karoliniškės–Žvėrynas–Stotis	597	601.71997	4.9000001	Atminties st.	603.5	6.8000002	Liubarto tiltas	621.20001	1	Troleibusai	1	04
779085	3-1283	1653	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	430	427.26999	-4.0999999	Pramogų arena	444.10001	-0.69999999	Prūsų st.	471.39999	10	Troleibusai	10	01
779155	3-2532	1652	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	540	545.25	3.5999999	Pramogų arena	561.79999	5.9000001	Prūsų st.	589.59998	10	Troleibusai	10	02
779155	3-2532	1652	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	595	598.66998	1.3	Verkių st.	624.79999	3.7	Prūsų st.	599.29999	10	Troleibusai	10	02
779101	3-3076	1642	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	390	402.10999	11.5	Pramogų arena	419.60001	14.5	Mikalojaus Konstantino Čiurlionio st.	440.60001	10	Troleibusai	10	03
779101	3-3076	1642	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	439	453.48001	12.6	Tauragnų st.	475.79999	14.9	„Sparta“	456.89999	10	Troleibusai	10	03
779101	3-3076	1642	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	485	500.91	15.7	Vilniaus universitetas	504.70001	18.9	Mikalojaus Konstantino Čiurlionio st.	540	10	Troleibusai	10	03
779101	3-3076	1642	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	534	552.45001	18.299999	Žaliasis tiltas	568.5	19.299999	Lizdeikos st.	585.29999	10	Troleibusai	10	03
779165	3-2037	1627	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	563	568.90002	3.9000001	Taraso Ševčenkos st.	606.70001	6.1999998	Oskaro Milašiaus st.	580.09998	10	Troleibusai	10	04
779090	3-2663	1658	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	456	454.29999	-3.0999999	Pramogų arena	471	1.7	Prūsų st.	499.89999	10	Troleibusai	10	05
779090	3-2663	1658	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	506	507.37	1.3	Taraso Ševčenkos st.	512.70001	4	Broniaus Laurinavičiaus skveras	531.70001	10	Troleibusai	10	05
779170	3-2621	1609	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	598	594.59998	-4.0999999	Pramogų arena	611.90002	-3.3	Antakalnio žiedas	602.40002	10	Troleibusai	10	06
779094	3-802	1638	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	411	378.70001	-33.099998	Lizdeikos st.	387.60001	-29.299999	Mikalojaus Konstantino Čiurlionio st.	417.79999	10	Troleibusai	10	07
779094	3-802	1638	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	461	427.92999	-35.299999	Kareivių st.	455	-31.9	„Sparta“	432	10	Troleibusai	10	07
779094	3-802	1638	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	508	474.60001	-33.400002	Gedimino technikos universitetas	476.79999	-29.299999	Mikalojaus Konstantino Čiurlionio st.	514.90002	10	Troleibusai	10	07
779094	3-802	1638	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	558	531.70001	-28	Verkių st.	558.40002	-25.799999	„Sparta“	535.20001	10	Troleibusai	10	07
779081	3-186	1531	A>B	Žirmūnai–Šeimyniškių–J. Basanavičiaus g.–Žemieji Paneriai	445	447.13	1.9	Žirmūnų seniūnija	450.79999	5	Centro poliklinika	474.39999	12	Troleibusai	12	01
779081	3-186	1531	B>A	Žemieji Paneriai–J. Basanavičiaus–Šeimyniškių g.–Žirmūnai	498	501.13	2.3	Gerosios Vilties st.	512.70001	6.9000001	Žirmūnų seniūnija	549.5	12	Troleibusai	12	01
779081	3-186	1531	A>B	Žirmūnai–Šeimyniškių–J. Basanavičiaus g.–Žemieji Paneriai	585	588.02002	2.5999999	Žirmūnų seniūnija	591.5	5	Vingis	624	12	Troleibusai	12	01
779117	3-126	1615	A>B	Žirmūnai–Šeimyniškių–J. Basanavičiaus g.–Žemieji Paneriai	408	404.14001	-4.5	Žirmūnai	410	-0.1	Reformatų st.	433.79999	12	Troleibusai	12	02
779117	3-126	1615	B>A	Žemieji Paneriai–J. Basanavičiaus–Šeimyniškių g.–Žirmūnai	569	571.19	2.3	Valkininkų st.	571.40002	7	Jogailos st.	600.79999	12	Troleibusai	12	02
779084	3-3297	1657	B>A	Žemieji Paneriai–J. Basanavičiaus–Šeimyniškių g.–Žirmūnai	415	412.29001	-3.5	„Žalgirio“ stadionas	444.60001	-2	Jogailos st.	437.79999	12	Troleibusai	12	03
779107	3-3066	1677	B>A	Žemieji Paneriai–J. Basanavičiaus–Šeimyniškių g.–Žirmūnai	478	480.17999	1.3	Gerosios Vilties st.	491.79999	4.3000002	Kareivių st.	524.70001	12	Troleibusai	12	04Ž
779107	3-3066	1677	A>B	Žirmūnai–Šeimyniškių–J. Basanavičiaus g.–Žemieji Paneriai	535	537.85999	1	Žaliasis tiltas	554.79999	3.2	Centro poliklinika	562.59998	12	Troleibusai	12	04Ž
779107	3-3066	1677	B>A	Žemieji Paneriai–J. Basanavičiaus–Šeimyniškių g.–Žirmūnai	588	591.37	-2.9000001	Valkininkų st.	585.09998	4.4000001	Reformatų st.	615.40002	12	Troleibusai	12	04Ž
779104	3-2707	1656	A>B	Žirmūnai–Šeimyniškių–J. Basanavičiaus g.–Žemieji Paneriai	388	384.64001	-4.6999998	„Žalgirio“ stadionas	398.89999	-3.0999999	Žemieji Paneriai	429.5	12	Troleibusai	12	05
779104	3-2707	1656	B>A	Žemieji Paneriai–J. Basanavičiaus–Šeimyniškių g.–Žirmūnai	440	435.85999	-5.5	Šiaurės miestelis	475.29999	-3.5	Vilkpėdės st.	446.10001	12	Troleibusai	12	05
779104	3-2707	1656	A>B	Žirmūnai–Šeimyniškių–J. Basanavičiaus g.–Žemieji Paneriai	495	492.10001	-3.5	Šiaurės miestelis	499.70001	-1.3	Centro poliklinika	518.09998	12	Troleibusai	12	05
