RunID	GPSNum	GarNum	Tipas	Pavadinimas	planTripStartTime	tripStartTime	ahead	aheadStop	aheadStopTime	behind	behindStop	behindStopTime	ReisoMarsrutas	Transportas	Marsrutas	Pavadinimas
-----	------	------	-----	-----------	-----------------	-------------	-----	---------	-------------	------	----------	--------------	--------------	-----------	---------	-----------
770651	3-2466	2667	A>B	Karoliniškės–Žvėrynas–Stotis	392	395.82001	4.0999999	Ugniagesių st.	399.10001	5.4000001	Liubarto tiltas	414.5	1	Troleibusai	1	01
770651	3-2466	2667	B>A	Stotis–Žvėrynas–Karoliniškės	426	432.23001	6	Islandijos st.	442.39999	7.9000001	Teodoro Narbuto st.	456.10001	1	Troleibusai	1	01
770651	3-2466	2667	A>B	Karoliniškės–Žvėrynas–Stotis	468	479.09	9.3999996	Pamėnkalnio st.	501.60001	11.6	Laisvės prospektas	487.10001	1	Troleibusai	1	01
770651	3-2466	2667	B>A	Stotis–Žvėrynas–Karoliniškės	505	515.96997	10.9	Stotis	516.09998	13.5	Latvių st.	535	1	Troleibusai	1	01
770656	3-1569	2623	B>A	Stotis–Žvėrynas–Karoliniškės	409	410.20999	0.89999998	Trakų st.	416.20001	3.0999999	Sietyno st.	437.29999	1	Troleibusai	1	03
770656	3-1569	2623	A>B	Karoliniškės–Žvėrynas–Stotis	570	565.71997	-6.3000002	Pamėnkalnio st.	586.20001	-4.5	Laisvės prospektas	573	1	Troleibusai	1	03
770702	3-2000	2560	A>B	Karoliniškės–Žvėrynas–Stotis	403	359.38	-44.099998	Gėlių st.	388.20001	-42.599998	Žvėrynas	372.29999	1	Troleibusai	1	04
770702	3-2000	2560	B>A	Stotis–Žvėrynas–Karoliniškės	437	393.09	-46	Islandijos st.	401.29999	-44.5	Atminties st.	424.39999	1	Troleibusai	1	04
770702	3-2000	2560	A>B	Karoliniškės–Žvėrynas–Stotis	403	447.41	44.200001	Ugniagesių st.	450.20001	47.200001	Trakų st.	475.79999	1	Troleibusai	1	04
770702	3-2000	2560	B>A	Stotis–Žvėrynas–Karoliniškės	518	483.51999	-34.400002	Islandijos st.	493.89999	-32	Pamėnkalnio st.	497.70001	1	Troleibusai	1	04
770702	3-2000	2560	A>B	Karoliniškės–Žvėrynas–Stotis	558	535.23999	-22.6	Atminties st.	536.90002	-20.799999	Liubarto tiltas	555.29999	1	Troleibusai	1	04
770702	3-2000	2560	B>A	Stotis–Žvėrynas–Karoliniškės	592	570.71997	-22.1	Rūdninkų st.	573.5	-18.200001	Latvių st.	590.29999	1	Troleibusai	1	04
770678	3-263	2665	A>B	Karoliniškės–Žvėrynas–Stotis	341	344.19	3.3	Karoliniškių poliklinika	348.70001	4.5	Liubarto tiltas	362.5	1	Troleibusai	1	05
770678	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	374	380.01001	5.4000001	Rūdninkų st.	383	7	Pamėnkalnio st.	392.79999	1	Troleibusai	1	05
770678	3-263	2665	A>B	Karoliniškės–Žvėrynas–Stotis	418	428.64001	8.1999998	Jokūbo Jasinskio st.	447.79999	10.8	Laisvės prospektas	436.29999	1	Troleibusai	1	05
770678	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	455	463.92001	9	Islandijos st.	474.29999	11	Atminties st.	497.89999	1	Troleibusai	1	05
770678	3-263	2665	A>B	Karoliniškės–Žvėrynas–Stotis	499	516.60999	16.299999	Jokūbo Jasinskio st.	536.09998	18	Trakų st.	544.20001	1	Troleibusai	1	05
770678	3-263	2665	B>A	Stotis–Žvėrynas–Karoliniškės	534	552.06	16.299999	Karoliniškių poliklinika	578.59998	18	Pamėnkalnio st.	563.70001	1	Troleibusai	1	05
770661	3-2037	1627	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	320	324.44	-0.89999998	Prūsų st.	363.70001	4.6999998	Senoji plytinė	325.79999	10	Troleibusai	10	01
770661	3-2037	1627	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	420	426.45999	6	Saulėtekis	430.79999	7.8000002	Prūsų st.	477.10001	10	Troleibusai	10	01
770661	3-2037	1627	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	478	484.98001	6.3000002	Pramogų arena	514.5	8.5	Lizdeikos st.	522	10	Troleibusai	10	01
770764	3-3293	1599	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	429	450.78	21.799999	Vilniaus universitetas	453.89999	25.200001	Kareivių st.	468.79999	10	Troleibusai	10	02
770764	3-3293	1599	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	487	514.81	27.700001	Taraso Ševčenkos st.	521.09998	31.1	Lizdeikos st.	553.59998	10	Troleibusai	10	02
770672	3-2532	1652	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	439	439.70999	-2.5	Prūsų st.	487.79999	4.9000001	Kareivių st.	458.5	10	Troleibusai	10	03
770672	3-2532	1652	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	498	500.63	1.7	Tauragnų st.	527.29999	3.5999999	„Sparta“	505.39999	10	Troleibusai	10	03
770719	3-2733	1592	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	453	398.48001	-58.700001	Kražių st.	433.79999	-54.299999	Senoji plytinė	399.89999	10	Troleibusai	10	04
770719	3-2733	1592	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	513	456.29001	-59.200001	Žaliasis tiltas	472.29999	-56.900002	Lizdeikos st.	491.60001	10	Troleibusai	10	04
770719	3-2733	1592	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	453	508.78	53.799999	„Sparta“	555.5	56.400002	Oskaro Milašiaus st.	520.79999	10	Troleibusai	10	04
770639	3-2772	1567	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	371	385.29001	13.6	Pramogų arena	403.29999	16.200001	Žaliasis tiltas	414.79999	10	Troleibusai	10	05
770639	3-2772	1567	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	422	438.26001	16.4	Naujininkai	438.39999	19.1	Lizdeikos st.	476.60001	10	Troleibusai	10	05
770639	3-2772	1567	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	479	528.57001	47.599998	Prūsų st.	576	51.200001	Kareivių st.	544.79999	10	Troleibusai	10	05
770698	3-2663	1658	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	355	352.10001	-3.4000001	Pramogų arena	370.29999	-1.3	Žaliasis tiltas	381.29999	10	Troleibusai	10	06
770698	3-2663	1658	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	464	466.42999	2.3	Vilniaus universitetas	469.39999	7.3000002	Kareivių st.	485.89999	10	Troleibusai	10	06
770698	3-2663	1658	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	521	531.53003	8.3999996	Pramogų arena	559.40002	11.2	„Sparta“	536	10	Troleibusai	10	06
770714	3-1283	1653	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	390	367.97	-22.6	Nemenčinės plentas	373.39999	-20	„Sparta“	412.70001	10	Troleibusai	10	07
770714	3-1283	1653	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	443	422.28	-22.299999	Broniaus Laurinavičiaus skveras	444.89999	-18.6	Saulėtekis	465.60001	10	Troleibusai	10	07
770714	3-1283	1653	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	526	481.81	-44.700001	Saulėtekis	486	-40.099998	Kalvarijų turgus	512.5	10	Troleibusai	10	07
770714	3-1283	1653	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	581	548.28003	-34.599998	Žaliasis tiltas	564.90002	-31.9	„Sparta“	553	10	Troleibusai	10	07
770673	3-2621	1609	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	399	411.32999	11.3	Pramogų arena	429.10001	13.4	Žalgirio st.	436.39999	10	Troleibusai	10	08
770673	3-2621	1609	B>A	Naujininkai–Kalvarijų g.–Saulėtekis	453	468.39999	13.3	Žaliasis tiltas	484.89999	16.799999	Lizdeikos st.	505.29999	10	Troleibusai	10	08
770673	3-2621	1609	A>B	Saulėtekis–Kalvarijų g.–Naujininkai	508	551.69	43.200001	Tauragnų st.	574.29999	44.599998	Kareivių st.	567.20001	10	Troleibusai	10	08
770628	3-1543	1625	B>A	Žemieji Paneriai–J. Basanavičiaus–Šeimyniškių g.–Žirmūnai	350	353.79001	0.69999999	Šeimyniškių st.	386.79999	4.5999999	Sausupio st.	358.10001	12	Troleibusai	12	01
770628	3-1543	1625	A>B	Žirmūnai–Šeimyniškių–J. Basanavičiaus g.–Žemieji Paneriai	554	556	1.5	Kareivių st.	562	3.5	Minties st.	569.29999	12	Troleibusai	12	01
