RunID	GPSNum	GarNum	Tipas	Pavadinimas	planTripStartTime	tripStartTime	ahead	aheadStop	aheadStopTime	behind	behindStop	behindStopTime	ReisoMarsrutas	Transportas	Marsrutas	Pavadinimas
-----	------	------	-----	-----------	-----------------	-------------	-----	---------	-------------	------	----------	--------------	--------------	-----------	---------	-----------
637371	2-2963	720	B>A	Oro uostas–Vikingų g.–Stotis	655	658	3.4000001	Oro uostas	658.70001	4.6999998	Vikingų slėnis	664.70001	1	Autobusai	1	01-Ž
637371	2-2963	720	B>A	Oro uostas–Vikingų g.–Stotis	707	710	1	„Sparta“	723.40002	3.4000001	Vikingų slėnis	715.40002	1	Autobusai	1	01-Ž
637371	2-2963	720	B>A	Oro uostas–Vikingų g.–Stotis	869	871	2	Oro uostas	871	5.4000001	Prūsų st.	886.40002	1	Autobusai	1	01-Ž
637371	2-2963	720	A>B	Stotis–Vikingų g.–Oro uostas	906	903	-3.4000001	Stotis	903.90002	6.9000001	Naujininkai	926.90002	1	Autobusai	1	01-Ž
637371	2-2963	720	B>A	Oro uostas–Vikingų g.–Stotis	934	937	3	Oro uostas	937.20001	6.5999999	Prūsų st.	951.59998	1	Autobusai	1	01-Ž
637371	2-2963	720	A>B	Stotis–Vikingų g.–Oro uostas	958	960	1.1	Aguonų st.	965.20001	4.5	„Sparta“	972.70001	1	Autobusai	1	01-Ž
637371	2-2963	720	B>A	Oro uostas–Vikingų g.–Stotis	986	989	2.8	Oro uostas	988.79999	6.1999998	Prūsų st.	1003.2	1	Autobusai	1	01-Ž
637371	2-2963	720	A>B	Stotis–Vikingų g.–Oro uostas	1011	1012	1	Stotis	1013.5	7.0999999	Vikingų st.	1038.3	1	Autobusai	1	01-Ž
637371	2-2963	720	B>A	Oro uostas–Vikingų g.–Stotis	1039	1043	1.2	„Sparta“	1055.7	3.8	Vikingų st.	1045.8	1	Autobusai	1	01-Ž
637371	2-2963	720	A>B	Stotis–Vikingų g.–Oro uostas	1252	1255	3.2	Stotis	1256.5	5.3000002	Aguonų st.	1263.4	1	Autobusai	1	01-Ž
637410	2-1840	754	B>A	Markučiai–Baltupiai–Fabijoniškės	367	367	-3.2	Antano Jonyno st.	404.70001	1.6	Tauragnų st.	390.39999	10	Autobusai	10	01-Ž
637410	2-1840	754	A>B	Fabijoniškės–Baltupiai–Markučiai	418	419	-3.7	Žaliasis tiltas	446.29999	0.89999998	Antano Jonyno st.	421.39999	10	Autobusai	10	01-Ž
637410	2-1840	754	B>A	Markučiai–Baltupiai–Fabijoniškės	474	475	0.89999998	Markučiai	474.89999	5.4000001	Kalvarijų turgus	500.10001	10	Autobusai	10	01-Ž
637410	2-1840	754	A>B	Fabijoniškės–Baltupiai–Markučiai	529	530	-3.2	Paplaujos st.	572.79999	2.5	Antano Jonyno st.	534	10	Autobusai	10	01-Ž
637410	2-1840	754	A>B	Fabijoniškės–Baltupiai–Markučiai	663	664	-1	Didlaukio st.	675.20001	3.0999999	Subačiaus st.	707.70001	10	Autobusai	10	01-Ž
637410	2-1840	754	B>A	Markučiai–Baltupiai–Fabijoniškės	826	827	-0.1	Bernardinų sodas	834.79999	3.2	Giedraičių st.	852.79999	10	Autobusai	10	01-Ž
637410	2-1840	754	B>A	Markučiai–Baltupiai–Fabijoniškės	935	935	0.30000001	Markučiai	935.40002	7.8000002	Antano Jonyno st.	986.59998	10	Autobusai	10	01-Ž
637410	2-1840	754	A>B	Fabijoniškės–Baltupiai–Markučiai	996	996	-0.30000001	Kaimelio žiedas	996.79999	6.1999998	Subačiaus st.	1045.8	10	Autobusai	10	01-Ž
637410	2-1840	754	B>A	Markučiai–Baltupiai–Fabijoniškės	1049	1052	-1.4	Žaliasis tiltas	1066.9	3.0999999	Paplaujos st.	1052.8	10	Autobusai	10	01-Ž
