RunID	GPSNum	GarNum	Tipas	Pavadinimas	planTripStartTime	tripStartTime	ahead	aheadStop	aheadStopTime	behind	behindStop	behindStopTime	ReisoMarsrutas	Transportas	Marsrutas	Pavadinimas
-----	------	------	-----	-----------	-----------------	-------------	-----	---------	-------------	------	----------	--------------	--------------	-----------	---------	-----------
731087	3-2764	1430	A>B	Karoliniškės–Žvėrynas–Stotis	392	402.76999	9.1999998	Gėlių st.	430.39999	11.5	Latvių st.	417.79999	1	Troleibusai	1	01
731087	3-2764	1430	B>A	Stotis–Žvėrynas–Karoliniškės	426	435.87	9	Islandijos st.	445.39999	10.1	Pamėnkalnio st.	447.89999	1	Troleibusai	1	01
731087	3-2764	1430	A>B	Karoliniškės–Žvėrynas–Stotis	468	488.41	18.700001	Pamėnkalnio st.	510.89999	20.5	Laisvės prospektas	496	1	Troleibusai	1	01
731087	3-2764	1430	B>A	Stotis–Žvėrynas–Karoliniškės	505	524.70001	18.1	Atminties st.	555	21.1	Pamėnkalnio st.	537.90002	1	Troleibusai	1	01
731087	3-2764	1430	A>B	Karoliniškės–Žvėrynas–Stotis	580	603.94	22.700001	Jokūbo Jasinskio st.	623.20001	23.9	Laisvės prospektas	611.40002	1	Troleibusai	1	01
731236	3-2108	2695	B>A	Stotis–Žvėrynas–Karoliniškės	469	471.16	1.9	Stotis	470.89999	4	Sietyno st.	498.20001	1	Troleibusai	1	02Ž
731236	3-2108	2695	B>A	Stotis–Žvėrynas–Karoliniškės	630	632.16998	1.6	Stotis	631.79999	5.4000001	Latvių st.	651.79999	1	Troleibusai	1	02Ž
731236	3-2108	2695	A>B	Karoliniškės–Žvėrynas–Stotis	703	699.01001	-3.9000001	Pasakų parkas	699.40002	-1.9	Trakų st.	727.70001	1	Troleibusai	1	02Ž
731236	3-2108	2695	B>A	Stotis–Žvėrynas–Karoliniškės	737	735.98999	-1.3	Stotis	735.79999	3.0999999	Atminties st.	771	1	Troleibusai	1	02Ž
731236	3-2108	2695	B>A	Stotis–Žvėrynas–Karoliniškės	814	816.23999	2.2	Stotis	816.29999	5.6999998	Latvių st.	836.20001	1	Troleibusai	1	02Ž
731236	3-2108	2695	A>B	Karoliniškės–Žvėrynas–Stotis	856	861.32001	5.6999998	Atminties st.	863.29999	8.3999996	Trakų st.	891	1	Troleibusai	1	02Ž
731236	3-2108	2695	B>A	Stotis–Žvėrynas–Karoliniškės	890	898.54999	7.9000001	Laisvės prospektas	924	10.2	Latvių st.	916.70001	1	Troleibusai	1	02Ž
731236	3-2108	2695	A>B	Karoliniškės–Žvėrynas–Stotis	937	942.21997	4.1999998	Kęstučio st.	958	5.6999998	Trakų st.	969.20001	1	Troleibusai	1	02Ž
731236	3-2108	2695	B>A	Stotis–Žvėrynas–Karoliniškės	971	977.03003	5.1999998	Trakų st.	982.5	6.5	Laisvės prospektas	1005.5	1	Troleibusai	1	02Ž
731236	3-2108	2695	A>B	Karoliniškės–Žvėrynas–Stotis	1021	1025.9	4.4000001	Karoliniškių poliklinika	1029.8	8.1999998	Trakų st.	1055.8	1	Troleibusai	1	02Ž
731236	3-2108	2695	B>A	Stotis–Žvėrynas–Karoliniškės	1055	1063.6	8.1999998	Liubarto tiltas	1078.7	11.7	Sėlių st.	1086.6	1	Troleibusai	1	02Ž
731236	3-2108	2695	A>B	Karoliniškės–Žvėrynas–Stotis	1109	1111.25	2.5999999	Atminties st.	1113.3	4.1999998	Trakų st.	1139.7	1	Troleibusai	1	02Ž
731236	3-2108	2695	B>A	Stotis–Žvėrynas–Karoliniškės	1143	1147.16	2	Atminties st.	1177	5	Reformatų st.	1155.3	1	Troleibusai	1	02Ž
731236	3-2108	2695	A>B	Karoliniškės–Žvėrynas–Stotis	1216	1220.26	3.2	Centro poliklinika	1243.3	4.5	Liubarto tiltas	1237.6	1	Troleibusai	1	02Ž
731236	3-2108	2695	B>A	Stotis–Žvėrynas–Karoliniškės	1249	1255.11	5.3000002	Atminties st.	1285.3	7.1999998	Latvių st.	1272.6	1	Troleibusai	1	02Ž
